qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,frames,length,qcovs,gaps,mismatch,score,evalue,TS_DW vs.TS_Mock-36 log2FoldChange,logFC,Group,description.x
VIT_04s0008g03530,Vitvi04g01848,582,602,1,582,1,602,1/1,602,100,20,0,3055,0,5.094,1.341,darkgreen,XP_003631824.1 ankyrin repeat-containing protein At5g02620
VIT_14s0068g00070,Vitvi14g01378,600,600,1,600,1,600,1/1,600,100,0,0,3236,0,1.3766,1.359,darkgreen,XP_010660595.1 receptor-like protein kinase FERONIA
VIT_10s0071g00190,Vitvi10g01495,812,812,1,812,1,812,1/1,812,100,0,0,4283,0,4.5261,1.411,darkgreen,XP_002276677.2 probable disease resistance protein At5g66900
VIT_14s0066g02070,Vitvi14g01840,264,264,1,264,1,264,1/1,264,100,0,0,1348,0,3.852,1.431,darkgreen,"XP_034706521.1AAA-ATPase ASD, mitochondrial-like isoform X2"
VIT_14s0066g02060,VITMroCarlos_v1.3.g08011,529,531,3,525,1,522,1/1,523,99,1,36,2410,0,NA,1.464,darkgreen,tr|F6HV46|F6HV46_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_14s0066g02090 PE=3 SV=1
VIT_14s0066g02090,VITMroCarlos_v1.3.g08011,527,531,1,523,1,522,1/1,523,99,1,30,2429,0,4.4678,1.464,darkgreen,tr|F6HV46|F6HV46_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_14s0066g02090 PE=3 SV=1
VIT_03s0132g00350,Vitvi03g00882,360,732,1,333,1,333,1/1,333,93,0,2,1825,0,2.978,1.465,darkgreen,XP_019073866.1 wall-associated receptor kinase-like 1
VIT_03s0132g00340,Vitvi03g00882,423,732,19,423,328,732,1/1,405,96,0,1,2133,0,2.9957,1.465,darkgreen,XP_019073866.1 wall-associated receptor kinase-like 1
VIT_04s0044g00250,Vitvi04g01589,360,360,1,360,1,360,1/1,360,100,0,0,1901,0,2.3652,1.465,darkgreen,"XP_034682522.1bifunctional L-3-cyanoalanine synthase/cysteine synthase 1, mitochondrial-like"
VIT_11s0052g01460,Vitvi11g01281,955,955,1,955,1,955,1/1,955,100,0,0,4941,0,4.1696,1.47,darkgreen,XP_010656820.1 probable LRR receptor-like serine/threonine-protein kinase At3g47570 isoform X1
VIT_05s0020g04210,Vitvi05g00576,468,468,1,468,1,468,1/1,468,100,0,0,2495,0,NA,1.506,darkgreen,"XP_002283572.1 ATP sulfurylase 1, chloroplastic"
VIT_11s0118g00050,Vitvi11g01457,471,946,11,470,230,689,1/1,460,99,0,36,1919,0,4.5986,1.507,darkgreen,XP_002264681.3 serine/threonine-protein kinase BRI1-like 2 isoform X1
VIT_08s0007g00030,Vitvi08g01174,845,840,1,845,1,840,1/1,845,100,5,0,4392,0,1.3744,1.51,darkgreen,XP_002269591.1 cation/H(+) antiporter 20
VIT_17s0000g07420,Vitvi17g01520,638,630,1,614,1,614,1/1,614,96,0,0,3321,0,1.3517,1.611,darkgreen,XP_002283967.2 protein EDS1
VIT_08s0007g06040,VITMroCarlos_v1.3.g02840,341,341,1,341,1,341,1/1,341,100,0,10,1721,0,4.5816,1.63,darkgreen,"sp|Q03773|E13A_SOYBN Glucan endo-1,3-beta-glucosidase OS=Glycine max OX=3847 PE=1 SV=1"
VIT_09s0002g05810,Vitvi09g00500,688,669,20,688,1,669,1/1,669,97,0,0,3567,0,6.1212,1.65,darkgreen,XP_002285279.1 boron transporter 4
VIT_12s0055g01280,Vitvi12g01323,514,632,1,505,40,554,1/1,515,98,10,0,2659,0,1.6273,1.69,darkgreen,XP_010657614.1 BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 isoform X1
VIT_16s0098g00860,Vitvi16g01336,339,339,1,339,1,339,1/1,339,100,0,0,1831,0,5.3351,1.696,darkgreen,NP_001267994.1Protein DOWNY MILDEW RESISTANCE 6-like
VIT_10s0071g00150,Vitvi10g02048,482,810,3,482,331,810,1/1,480,99,0,12,2445,0,4.0819,1.709,darkgreen,XP_002276747.1 probable disease resistance protein At5g66900
VIT_15s0024g00400,Vitvi15g00017,1155,1167,1,1151,1,1151,1/1,1151,99,0,0,6091,0,2.8693,1.724,darkgreen,XP_010661185.1 disease resistance protein RGA2 isoform X2
VIT_04s0008g07250,Vitvi04g01941,268,463,1,268,196,463,1/1,268,100,0,0,1416,0,3.6389,1.727,darkgreen,XP_002262837.2 aspartyl protease family protein At5g10770-like isoform X2
VIT_08s0007g06040,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g105940,341,341,1,341,1,341,1/1,341,100,0,10,1721,0,4.5816,1.773,darkgreen,"Glucan endo-1,3-beta- basic isoform"
VIT_04s0008g03770,VITMroCarlos_v1.3.g14908,423,423,1,423,1,423,1/1,423,100,0,7,2228,0,0.71212,1.807,darkgreen,tr|D7SUD7|D7SUD7_VITVI Aspartate aminotransferase OS=Vitis vinifera OX=29760 GN=VIT_04s0008g03770 PE=4 SV=1
VIT_04s0008g01860,Vitvi04g00159,513,513,1,513,1,513,1/1,513,100,0,0,2755,0,5.3087,1.829,darkgreen,XP_002281332.1 cytochrome P450 CYP72A219
VIT_12s0057g00420,VITMroCarlos_v1.3.g00974,395,395,1,395,1,395,1/1,395,100,0,30,1885,0,2.6586,1.838,darkgreen,tr|F6HHK7|F6HHK7_VITVI Cytochrome b561 and DOMON domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_12s0057g00420 PE=4 SV=1
VIT_06s0009g02590,Vitvi06g04331,453,514,1,453,62,514,1/1,453,100,0,0,2406,0,3.194,2.037,darkgreen,XP_002264156.1 pectinesterase 2
VIT_08s0007g06060,VITMroCarlos_v1.3.g02841,346,346,1,346,1,346,1/1,346,100,0,19,1718,0,4.7305,2.447,darkgreen,"sp|P52408|E13B_PRUPE Glucan endo-1,3-beta-glucosidase, basic isoform OS=Prunus persica OX=3760 GN=GNS1 PE=3 SV=1"
VIT_13s0156g00590,Vitvi13g02551,809,809,1,809,1,809,1/1,809,100,0,0,4369,0,5.0111,2.516,darkgreen,XP_002269019.4  G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3
VIT_14s0006g02630,Vitvi14g04420,562,376,1,323,1,333,1/1,333,57,10,2,1717,0,1.7174,2.595,darkgreen,XP_019080909.1  LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4
VIT_08s0007g06060,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g105950,346,346,1,346,1,346,1/1,346,100,0,19,1723,0,4.7305,3.058,darkgreen,"Glucan endo-1,3-beta- basic isoform"
VIT_05s0077g01150,Vitvi05g00107,361,361,1,361,1,361,1/1,361,100,0,0,1896,0,1.929,3.416,darkgreen,"NP_001267896.2class I beta-1,3-glucanase precursor"
VIT_14s0171g00400,VITMroCarlos_v1.3.g07943,443,434,10,443,1,434,1/1,434,98,0,10,2248,0,2.6989,4.155,darkgreen,tr|D7UBG5|D7UBG5_VITVI Aa_trans domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_14s0171g00400 PE=4 SV=1
VIT_17s0000g03910,Vitvi17g01414,459,507,1,359,148,506,1/1,359,78,0,0,1922,0,NA,-2.044,darkolivegreen,XP_002275826.1 cytochrome P450 CYP736A12
VIT_19s0015g00060,Vitvi19g00645,1406,1406,1,1406,1,1406,1/1,1406,100,0,0,7492,0,3.0535,-1.426,darkolivegreen,XP_034678524.1ABC transporter C family member 3-like
VIT_12s0055g00580,VITMroCarlos_v1.3.g00464,1032,1032,1,1032,1,1032,1/1,1032,100,0,54,5148,0,1.5473,1.174,darkolivegreen,tr|D7STA1|D7STA1_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_12s0055g00580 PE=4 SV=1
VIT_08s0007g01040,VITMroCarlos_v1.3.g01790,291,315,1,290,1,289,1/1,290,99,1,15,1477,0,-0.66859,1.189,darkolivegreen,NA
VIT_06s0061g00680,Vitvi06g01340,271,271,1,271,1,271,1/1,271,100,0,0,1392,0,1.3098,1.544,darkolivegreen,XP_034687125.1arp2/3 complex-activating protein rickA-like isoform X1
VIT_18s0001g11490,Vitvi18g02715,270,526,1,270,257,526,1/1,270,100,0,19,1353,0,0.99644,1.67,darkolivegreen,XP_002282111.2 cytochrome P450 82A3
VIT_02s0025g01260,Vitvi02g00112,343,343,1,343,1,343,1/1,343,100,0,0,1833,0,-0.80356,1.786,darkolivegreen,XP_002270919.2 anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X2
VIT_16s0050g02720,VITMroCarlos_v1.3.g16181,595,604,5,595,15,604,1/1,594,99,7,61,2664,0,0.98335,1.877,darkolivegreen,tr|F6HWE5|F6HWE5_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_16s0148g00060 PE=4 SV=1
VIT_16s0148g00060,VITMroCarlos_v1.3.g16181,607,604,5,607,15,604,1/1,605,99,17,56,2694,0,0.98476,1.877,darkolivegreen,tr|F6HWE5|F6HWE5_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_16s0148g00060 PE=4 SV=1
VIT_18s0001g11520,VITMroCarlos_v1.3.g24435,526,526,1,526,1,526,1/1,526,100,0,10,2768,0,1.3862,1.892,darkolivegreen,NA
VIT_09s0002g03150,Vitvi09g00264,356,336,21,356,1,336,1/1,336,94,0,0,1787,0,NA,1.92,darkolivegreen,XP_010654595.1 GDSL esterase/lipase APG
VIT_16s0148g00060,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g205070,607,604,5,607,16,604,1/1,604,99,16,69,2641,0,0.98476,2.237,darkolivegreen,receptor-like kinase
VIT_00s0258g00130,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g205130,577,600,5,577,16,600,1/1,592,99,26,156,2043,0,5.4115,2.288,darkolivegreen,receptor-like kinase
VIT_16s0050g02720,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g205130,595,600,5,595,16,600,1/1,597,99,18,60,2655,0,0.98335,2.288,darkolivegreen,receptor-like kinase
VIT_16s0148g00300,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g205130,387,600,3,386,121,504,1/1,390,99,12,107,1380,0,5.1724,2.288,darkolivegreen,receptor-like kinase
VIT_19s0177g00270,Vitvi19g02001,285,318,1,285,34,318,1/1,285,100,0,0,1534,0,1.1787,2.891,darkolivegreen,"RVW40312.1Chaperone protein dnaJ C76, chloroplastic"
VIT_03s0017g00920,Vitvi03g04434,824,1059,1,824,236,1059,1/1,824,100,0,0,4361,0,3.0958,-3.947,darkturquoise,XP_019074021.1 putative disease resistance RPP13-like protein 2
VIT_07s0005g05610,VITMroCarlos_v1.3.g06515,444,442,1,444,1,442,1/1,444,100,2,9,2256,0,0.70704,-1.297,darkturquoise,"sp|Q56WD9|THIK2_ARATH 3-ketoacyl-CoA thiolase 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=PED1 PE=1 SV=2"
VIT_11s0016g04160,Vitvi11g00356,649,649,1,649,1,649,1/1,649,100,0,0,3429,0,2.8121,-1.16,darkturquoise,XP_002281248.1 probable sulfate transporter 3.5
VIT_04s0008g05390,Vitvi04g01907,311,311,1,311,1,311,1/1,311,100,0,0,1662,0,6.6501,-1.127,darkturquoise,RVX19882.1putative carboxylesterase 17
VIT_09s0054g01110,VITMroCarlos_v1.3.g13650,797,759,1,797,1,759,1/1,797,100,38,37,3693,0,2.5248,1.005,darkturquoise,sp|Q8W3Z3|CAS2_BETPL Cycloartenol synthase 2 OS=Betula platyphylla OX=78630 GN=CASBPX2 PE=1 SV=1
VIT_14s0066g00750,Vitvi14g03010,660,660,1,660,1,660,1/1,660,100,0,0,3506,0,1.2207,1.04,darkturquoise,RVX08677.1Disease resistance protein RPM1
VIT_04s0008g06170,VITMroCarlos_v1.3.g15020,365,365,1,365,1,365,1/1,365,100,0,9,1913,0,0.7139,1.4,darkturquoise,sp|Q8W4E6|HPAT1_ARATH Hydroxyproline O-arabinosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=HPAT1 PE=1 SV=1
VIT_11s0016g03720,VITMroCarlos_v1.3.g03236,412,412,1,412,1,412,1/1,412,100,0,6,2176,0,1.0534,1.419,darkturquoise,NA
VIT_09s0054g01110,VITMroTrayshed_v2.0.hap1.chr09.ver2.0.g119360,797,758,1,795,1,756,1/1,795,99,39,61,3607,0,2.5248,1.424,darkturquoise,cycloartenol synthase
VIT_08s0007g01640,VITMroCarlos_v1.3.g01821,721,486,252,721,1,486,1/1,486,65,16,12,2468,0,0.72674,1.648,darkturquoise,tr|F6HKY0|F6HKY0_VITVI PfkB domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_08s0007g01640 PE=4 SV=1
VIT_08s0007g08480,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g108330,966,966,1,966,1,966,1/1,966,100,0,31,5059,0,1.1231,2.116,darkturquoise,Insulinase (Peptidase family M16) family
VIT_08s0007g08480,VITMroCarlos_v1.3.g02133,966,966,1,966,1,966,1/1,966,100,0,29,5070,0,1.1231,2.142,darkturquoise,NA
VIT_11s0016g03690,VITMroCarlos_v1.3.g03818,725,712,1,710,1,710,1/1,710,98,0,22,3646,0,0.89655,2.25,darkturquoise,sp|Q9ZPI6|AIM1_ARATH Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1 OS=Arabidopsis thaliana OX=3702 GN=AIM1 PE=1 SV=1
VIT_11s0016g03720,VITMroTrayshed_v2.0.hap1.chr11.ver2.0.g138030,412,412,1,412,1,412,1/1,412,100,0,3,2198,0,1.0534,2.626,darkturquoise,Aspartate aminotransferase
VIT_03s0063g02100,VITMroCarlos_v1.3.g19666,436,436,1,436,1,436,1/1,436,100,0,8,2272,0,0.68949,3.101,darkturquoise,tr|D7TPX8|D7TPX8_VITVI Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Vitis vinifera OX=29760 GN=VIT_03s0063g02100 PE=3 SV=1
VIT_19s0014g01020,VITMroCarlos_v1.3.g04798,477,477,1,477,1,477,1/1,477,100,0,0,2493,0,0.70076,3.54,greenyellow,NA
VIT_09s0002g03640,VITMroCarlos_v1.3.g13286,1494,1494,1,1494,1,1494,1/1,1494,100,0,40,7827,0,NA,-1.189,grey,sp|Q7PC86|AB35G_ARATH ABC transporter G family member 35 OS=Arabidopsis thaliana OX=3702 GN=ABCG35 PE=2 SV=1
VIT_17s0000g02360,Vitvi17g01365,1669,1074,613,1144,452,976,1/1,532,99,7,25,2603,0,5.907,1.063,grey,XP_010663893.1 MDIS1-interacting receptor like kinase 2-like
VIT_04s0023g00830,VITMroCarlos_v1.3.g16781,434,434,1,434,1,434,1/1,434,100,0,11,2254,0,1.5345,1.095,grey,tr|F6GX14|F6GX14_VITVI Calreticulin OS=Vitis vinifera OX=29760 GN=VIT_04s0023g00830 PE=3 SV=1
VIT_05s0094g00320,Vitvi05g01581,274,274,1,274,1,274,1/1,274,100,0,0,1445,0,5.4966,1.844,grey,XP_010650684.1 endochitinase EP3
VIT_17s0000g07190,VITMroCarlos_v1.3.g27578,912,912,1,912,1,912,1/1,912,100,0,11,4702,0,-0.83769,-2.327,grey60,sp|P42730|CLPB1_ARATH Chaperone protein ClpB1 OS=Arabidopsis thaliana OX=3702 GN=CLPB1 PE=1 SV=2
VIT_16s0050g01150,Vitvi16g01103,705,705,1,705,1,705,1/1,705,100,0,0,3704,0,NA,-1.681,grey60,XP_002274022.1 heat shock protein 83
VIT_08s0040g02200,Vitvi08g01058,329,329,1,329,1,329,1/1,329,100,0,0,1761,0,1.3339,-1.521,grey60,XP_002275288.1 peroxidase 21
VIT_06s0009g01740,Vitvi06g01069,467,467,1,467,1,467,1/1,467,100,0,0,2481,0,0.72915,-1.412,grey60,"XP_002273133.1 geranylgeranyl diphosphate reductase, chloroplastic"
VIT_04s0008g04150,Vitvi04g01873,342,309,47,342,14,309,1/1,296,87,0,0,1590,0,-0.70457,-1.162,grey60,XP_010648550.1 BURP domain protein RD22 isoform X3
VIT_07s0104g01260,VITMroCarlos_v1.3.g04321,390,378,1,377,1,377,1/1,377,97,0,20,1900,0,2.0353,-1.366,lightcyan1,NA
VIT_01s0011g04900,VITMroCarlos_v1.3.g10459,440,442,1,440,1,442,1/1,442,100,2,6,2297,0,1.196,-1.018,lightcyan1,NA
VIT_01s0026g01890,VITMroCarlos_v1.3.g10724,333,333,1,333,1,333,1/1,333,100,0,6,1735,0,NA,-3.235,lightyellow,sp|Q9M9S6|UTR3_ARATH UDP-galactose/UDP-glucose transporter 3 OS=Arabidopsis thaliana OX=3702 GN=UTR3 PE=1 SV=1
VIT_01s0010g03300,VITMroCarlos_v1.3.g10928,851,875,1,851,1,875,1/1,898,100,70,12,4229,0,0.79511,-2.611,lightyellow,NA
VIT_09s0018g00780,Vitvi09g01181,1076,1036,76,1076,1,1036,1/1,1036,93,35,1,5123,0,1.5914,-1.623,lightyellow,XP_010655112.1 LRR receptor-like serine/threonine-protein kinase GSO2 isoform X1
VIT_14s0006g02950,Vitvi14g01193,284,284,1,284,1,284,1/1,284,100,0,0,1517,0,5.7772,1.05,lightyellow,XP_002283795.1 LOB domain-containing protein 41
VIT_06s0004g06940,VITMroTrayshed_v2.0.hap1.chr06.ver2.0.g075490,336,336,1,336,1,336,1/1,336,100,0,9,1718,0,1.1085,1.057,lightyellow,ZIP zinc iron transport family
VIT_16s0050g01700,VITMroCarlos_v1.3.g16123,681,683,1,681,2,683,1/1,682,100,1,32,3400,0,0.94795,1.08,lightyellow,NA
VIT_19s0014g04470,VITMroTrayshed_v2.0.hap1.chr19.ver2.0.g240160,818,818,1,818,1,818,1/1,818,100,0,32,3966,0,2.7126,1.201,lightyellow,S-locus kinase
VIT_19s0014g04490,VITMroTrayshed_v2.0.hap1.chr19.ver2.0.g240160,345,542,1,345,198,542,1/1,345,100,0,47,1585,0,2.9879,1.201,lightyellow,S-locus kinase
VIT_04s0044g00130,VITMroCarlos_v1.3.g16946,1068,1054,1,1068,1,1054,1/1,1068,100,14,31,5383,0,-0.95863,1.232,lightyellow,tr|F6I0J9|F6I0J9_VITVI Lgl_C domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_04s0044g00130 PE=4 SV=1
VIT_05s0094g00340,Vitvi05g01583,265,265,1,265,1,265,1/1,265,100,0,0,1379,0,6.4589,1.331,lightyellow,NP_001268075.1class IV chitinase precursor
VIT_08s0056g01300,Vitvi08g00117,276,276,1,276,1,276,1/1,276,100,0,0,1471,0,4.7274,1.384,lightyellow,XP_002275517.1 plant cysteine oxidase 2
VIT_05s0020g04570,Vitvi05g00618,421,421,1,421,1,421,1/1,421,100,0,0,2233,0,1.3046,1.483,lightyellow,NP_001268041.1CBL-interacting protein kinase 20
VIT_00s0181g00010,Vitvi10g00358,520,520,1,520,1,520,1/1,520,100,0,4,2703,0,NA,1.555,lightyellow,ADP37125.1hexose transporter
VIT_03s0017g02170,Vitvi03g01288,352,352,1,352,1,352,1/1,352,100,0,0,1835,0,2.0133,1.613,lightyellow,XP_002264621.1 zinc transporter 8
VIT_03s0091g01130,VITMroTrayshed_v2.0.hap1.chr03.ver2.0.g033750,329,331,1,329,1,331,1/1,332,100,4,13,1657,0,0.76971,1.833,lightyellow,BTB POZ and MATH domain
VIT_07s0031g00130,VITMroTrayshed_v2.0.hap1.chr20.ver2.0.g253210,1080,1033,1,1032,1,1032,1/1,1032,96,0,15,5431,0,-0.74313,1.906,lightyellow,kinesin KIN-4A isoform X2
VIT_18s0001g13780,Vitvi18g01072,416,497,1,416,82,497,1/1,416,100,0,46,2007,0,3.4823,2.016,lightyellow,XP_002278372.1 cytochrome P450 71A1
VIT_06s0004g01250,Vitvi06g00119,466,377,45,412,1,368,1/1,368,79,0,0,1967,0,-0.80319,2.138,lightyellow,XP_002285640.1 delta(12)-fatty-acid desaturase FAD2
VIT_03s0017g02170,VITMroCarlos_v1.3.g18341,352,352,1,352,1,352,1/1,352,100,0,20,1506,0,2.0133,2.16,lightyellow,tr|A0A068VCF5|A0A068VCF5_COFCA Uncharacterized protein OS=Coffea canephora OX=49390 GN=GSCOC_T00007111001 PE=3 SV=1
VIT_18s0001g02760,VITMroTrayshed_v2.0.hap1.chr18.ver2.0.g220660,391,391,1,391,1,391,1/1,391,100,0,25,1961,0,3.0819,2.362,lightyellow,GDSL-like lipase acylhydrolase
VIT_18s0001g02770,VITMroTrayshed_v2.0.hap1.chr18.ver2.0.g220660,412,391,24,412,3,391,1/1,389,94,0,24,1951,0,3.8923,2.362,lightyellow,GDSL-like lipase acylhydrolase
VIT_08s0007g03830,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g103880,359,359,1,359,1,359,1/1,359,100,0,9,1849,0,0.94061,2.967,lightyellow,fructose-bisphosphate aldolase
VIT_04s0044g00250,VITMroTrayshed_v2.0.hap1.chr15.ver2.0.g193190,360,372,1,360,1,372,1/1,376,100,20,15,1691,0,2.3652,3.175,lightyellow,bifunctional L-3-cyanoalanine synthase cysteine synthase mitochondrial
VIT_04s0044g00250,VITMroCarlos_v1.3.g19400,360,372,1,360,1,372,1/1,376,100,20,15,1691,0,2.3652,3.479,lightyellow,"sp|Q1KLZ2|CAS1_MALDO L-3-cyanoalanine synthase 1, mitochondrial OS=Malus domestica OX=3750 GN=CAS1 PE=1 SV=1"
VIT_04s0008g07010,VITMroCarlos_v1.3.g18215,649,832,2,640,88,766,1/1,682,98,46,235,2052,0,1.5655,4.206,lightyellow,sp|Q8LFT2|DRP3B_ARATH Dynamin-related protein 3B OS=Arabidopsis thaliana OX=3702 GN=DRP3B PE=1 SV=2
VIT_19s0090g00660,VITMroTrayshed_v2.0.hap1.chr19.ver2.0.g241850,365,365,1,365,1,365,1/1,365,100,0,10,1888,0,0.91342,5.426,lightyellow,GDSL esterase lipase At5g55050-like
VIT_03s0017g00670,VITMroTrayshed_v2.0.hap1.chr03.ver2.0.g036970,428,382,1,381,1,375,1/1,381,89,6,31,1659,0,1.1322,-2.671,mediumpurple3,RING-H2 finger ATL54
VIT_08s0032g00240,Vitvi08g00171,505,505,1,505,1,505,1/1,505,100,0,0,2669,0,5.2688,-2.025,mediumpurple3,XP_010653207.1 cytochrome P450 71D9
VIT_13s0074g00570,VITMroCarlos_v1.3.g12120,458,458,1,458,1,458,1/1,458,100,0,25,2281,0,2.3452,-1.991,mediumpurple3,NA
VIT_12s0059g02150,VITMroCarlos_v1.3.g00294,988,988,1,988,1,988,1/1,988,100,0,17,5224,0,1.4238,-1.833,mediumpurple3,"sp|P49608|ACOC_CUCMA Aconitate hydratase, cytoplasmic OS=Cucurbita maxima OX=3661 PE=2 SV=1"
VIT_19s0015g01440,Vitvi19g00783,483,483,1,483,1,483,1/1,483,100,0,0,2577,0,1.8779,-1.825,mediumpurple3,XP_010644657.1 UPF0481 protein At3g47200
VIT_10s0003g01130,Vitvi10g00570,365,432,1,365,68,432,1/1,365,100,0,0,1907,0,2.5445,-1.676,mediumpurple3,XP_002266726.1 U-box domain-containing protein 7
VIT_06s0004g03190,VITMroCarlos_v1.3.g23476,246,246,1,246,1,246,1/1,246,100,0,2,1308,0,0.81903,-1.526,mediumpurple3,tr|D7SKV3|D7SKV3_VITVI Proteasome subunit beta OS=Vitis vinifera OX=29760 GN=VIT_06s0004g03190 PE=3 SV=1
VIT_01s0026g01570,Vitvi01g00921,586,586,1,586,1,586,1/1,586,100,0,0,3117,0,0.96717,-1.499,mediumpurple3,XP_010652497.1 protein NRT1/ PTR FAMILY 4.6
VIT_02s0025g04620,Vitvi02g00424,851,851,1,851,1,851,1/1,851,100,0,0,4625,0,1.1674,-1.165,mediumpurple3,XP_010661431.1 phospholipase D beta 1-like isoform X1
VIT_18s0001g15220,VITMroCarlos_v1.3.g24593,335,335,1,335,1,335,1/1,335,100,0,11,1691,0,2.5063,-1.121,mediumpurple3,NA
VIT_13s0156g00550,VITMroCarlos_v1.3.g10227,794,794,1,794,1,794,1/1,794,100,0,27,4134,0,2.4742,-1.03,mediumpurple3,tr|F6HPV3|F6HPV3_VITVI Receptor-like serine/threonine-protein kinase OS=Vitis vinifera OX=29760 GN=VIT_13s0156g00570 PE=3 SV=1
VIT_18s0001g11520,Vitvi18g02720,526,526,1,526,1,526,1/1,526,100,0,0,2803,0,1.3862,2.276,mediumpurple3,XP_019071776.1 cytochrome P450 CYP82D47
VIT_16s0098g01580,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g206540,668,668,1,668,1,668,1/1,668,100,0,5,3472,0,1.3772,2.285,mediumpurple3,Heat shock 70 (Hsp 70) family
VIT_07s0031g00920,VITMroCarlos_v1.3.g14080,511,511,1,511,1,511,1/1,511,100,0,5,2703,0,0.77101,-1.877,midnightblue,sp|Q9SSV4|INO1_NICPA Inositol-3-phosphate synthase OS=Nicotiana paniculata OX=62141 GN=INPS1 PE=2 SV=1
VIT_19s0014g00810,Vitvi19g01824,1021,1064,1,1021,1,1064,1/1,1064,100,43,1,5348,0,1.4797,1.149,midnightblue,XP_002283464.2 probable LRR receptor-like serine/threonine-protein kinase At1g53440 isoform X4
VIT_01s0010g02460,VITMroTrayshed_v2.0.hap1.chr01.ver2.0.g012370,341,341,1,341,1,341,1/1,341,100,0,4,1768,0,3.48,-5.114,orange,glyceraldehyde-3-phosphate cytosolic-like
VIT_18s0001g09550,Vitvi18g00703,870,1027,1,870,6,1027,1/1,1022,100,152,20,4060,0,2.5486,-3.391,orange,XP_010664533.1 probable LRR receptor-like serine/threonine-protein kinase At3g47570
VIT_06s0004g07230,Vitvi06g01762,365,459,1,365,95,459,1/1,365,100,0,0,1944,0,1.8996,-2.581,orange,XP_002274420.2 UDP-glycosyltransferase 87A1
VIT_06s0004g03100,Vitvi06g00308,700,588,1,577,1,577,1/1,577,82,0,2,3085,0,0.76998,-1.771,orange,XP_002282216.1 MLO-like protein 6
VIT_05s0094g00340,VITMroCarlos_v1.3.g27163,265,265,1,265,1,265,1/1,265,100,0,9,1343,0,6.4589,-1.618,orange,NA
VIT_08s0056g00300,Vitvi08g01974,330,330,1,330,1,330,1/1,330,100,0,0,1722,0,4.5624,-1.278,orange,XP_010653102.1PREDICTED: uncharacterized protein LOC104879960
VIT_18s0001g15460,Vitvi18g01231,390,390,1,390,1,390,1/1,390,100,0,0,2078,0,4.0063,-1.224,orange,"XP_002264795.1 stearoyl-[acyl-carrier-protein] 9-desaturase 6, chloroplastic"
VIT_11s0052g01730,Vitvi11g01303,736,736,1,736,1,736,1/1,736,100,0,0,3942,0,1.6965,-1.202,orange,"XP_002271585.1 probable 1-deoxy-D-xylulose-5-phosphate synthase 2, chloroplastic isoform X1"
VIT_14s0066g01710,Vitvi14g01811,420,420,1,420,1,420,1/1,420,100,0,0,2267,0,3.0376,-1.167,orange,XP_010660953.1 protein ALTERED XYLOGLUCAN 4-like
VIT_05s0077g00500,Vitvi05g00166,307,307,1,307,1,307,1/1,307,100,0,0,1648,0,2.6542,-1.125,orange,RVW26470.1Transcription factor MYB108
VIT_01s0146g00440,Vitvi01g01737,620,620,1,620,1,620,1/1,620,100,0,0,3330,0,2.97,-1.056,orange,"CBI38184.3unnamed protein product, partial"
VIT_04s0023g03540,VITMroCarlos_v1.3.g15413,297,306,6,297,16,306,1/1,292,98,1,14,1418,0,1.2886,-2.435,red,NA
VIT_08s0040g02090,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g099110,475,474,1,475,1,474,1/1,475,100,1,5,2461,0,1.1433,1.075,red,dnaJ P58IPK homolog B
VIT_08s0007g01230,Vitvi08g02220,810,810,1,810,1,810,1/1,810,100,0,0,4348,0,2.8742,1.413,red,XP_002272467.1 putative receptor protein kinase ZmPK1
