"gene","transformed_mean_difference_historical","statistic_historical","pvalue_historical","padj_historical","DE_historical","direction_historical","genotype","timing","historical_contrast_count","historical_rank","UniProt","GCA_030704535.1_NCBI_ID","Chromosome","Start","End","Transcription_pattern","Athaliana_TAIR10_homolog","homology","TAIR10","Athal.common.NAme","locus_tag","VITVI_ID","Athal_ID","Athal_gene_name"
"Vitvi03g00009",-1.39047230374319,-7.77681853984371,0.0014740938802281,0.0242704476048164,TRUE,"Down","Rpv12+1",6,9,72,"F6I1A6","VIT_03s0038g00150","3",211620,218009,"EEE EDE EEE","NP_568001.1 beta-galactosidase 3 [Arabidopsis thaliana]",72.488,"NP_568001.1","BGAL3","AT4G36360","VIT_03s0038g00150","AT4G36360","BGAL3"
"Vitvi07g00524",-0.968003128177995,-7.77717876887314,0.00147383494054152,0.0242704476048164,FALSE,"Not_DE","Rpv12+1",6,9,73,"F6HZF8","VIT_07s0005g02580","7",5297515,5300546,"EDE EEE EEE","NP_192082.4 DHHC-type zinc finger family protein [Arabidopsis thaliana]",65.049,"NP_192082.4",,"AT4G01730","VIT_07s0005g02580","AT4G01730",
"Vitvi02g01381",-1.34045124864603,-9.01907964599398,0.000836992706880355,0.0244302739583954,TRUE,"Down","Rpv12",6,9,74,"F6HUD2","VIT_02s0025g03610","2",2956294,2959302,"EDE EEE EEE","NP_192898.2 C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Arabidopsis thaliana]",74.902,"NP_192898.2",,"AT4G11610","VIT_02s0025g03610","AT4G11610",
"Vitvi16g01546",-2.70809452797493,-7.55764249416389,0.00164264220945397,0.0254785525174098,TRUE,"Down","Rpv12+1",6,9,75,"D7T7S5","VIT_16s0039g02330","16",2477396,2477809,"EDE EDE EDE","NP_195373.6 ARM repeat superfamily protein [Arabidopsis thaliana]",37.179,"NP_195373.6",,"AT4G36550","VIT_16s0039g02330","AT4G36550",
"Vitvi11g01677",-1.12741386061228,-8.68903067721263,0.000965735790325869,0.0256052075957828,TRUE,"Down","Rpv12",6,9,76,"F6GXE1","VIT_11s0052g01270","11",19107754,19108869,"EDE EEE EEE","NP_194311.1 xyloglucan endotransglycosylase 6 [Arabidopsis thaliana]",72.242,"NP_194311.1","XTR6","AT4G25810","VIT_11s0052g01270","AT4G25810","XTR6"
"Vitvi05g00281",-1.00902720435954,-7.52951597747331,0.00166596018583236,0.0257064791211556,TRUE,"Down","Rpv12+1",6,9,77,"F6HE58","VIT_05s0020g01160","5",2901613,2908492,"EEE EDE EEE","NP_193324.1 binding protein [Arabidopsis thaliana]",60.902,"NP_193324.1",,"AT4G15890","VIT_05s0020g01160","AT4G15890",
"Vitvi19g01028",2.43950532085591,8.66839328762771,0.00097457495883909,0.0257406540433737,TRUE,"Up","Rpv12",6,9,78,"D7UB08","VIT_19s0015g02660","19",13148051,13151947,"EUE EUE EUE","NP_188087.1 cytochrome P450, family 72, subfamily A, polypeptide 15 [Arabidopsis thaliana]",55.233,"NP_188087.1","CYP72A15","AT3G14690","VIT_19s0015g02660","AT3G14690","CYP72A15"
"Vitvi17g01429",-1.02442462060123,-8.64750596501242,0.000983623482537017,0.0258178966043242,TRUE,"Down","Rpv12",6,9,79,,,"17",5723684,5724386,"EDE EEE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi03g00208",-1.48015549257323,-8.60000818369611,0.00100459046450545,0.0258375866192449,TRUE,"Down","Rpv12",6,9,80,"D7U4W2","VIT_03s0038g03420","3",2545742,2547307,"EDE EDE EEE","NP_567978.1 Putative lysine decarboxylase family protein [Arabidopsis thaliana]",83.7,"NP_567978.1","LOG5","AT4G35190","VIT_03s0038g03420","AT4G35190","LOG5"
"Vitvi16g00897",-1.91982605825597,-8.54617486337195,0.00102902795889985,0.026106805682344,TRUE,"Down","Rpv12",6,9,81,"F6HAQ3","VIT_16s0022g02370","16",15720016,15723224,"EDE EEE EDE","NP_201023.1 LOW protein: M-phase inducer phosphatase-like protein [Arabidopsis thaliana]",35.02,"NP_201023.1","TRM25","AT5G62170","VIT_16s0022g02370","AT5G62170","TRM25"
"Vitvi06g04151",-1.23334204859597,-7.43476279383876,0.00174758462567673,0.026220461427069,TRUE,"Down","Rpv12+1",6,9,82,"A5B4J3","VIT_06s0004g03890","6",5298146,5298457,"EDE EDE EEE","NP_850939.1 Histone superfamily protein [Arabidopsis thaliana]",100,"NP_850939.1",,"AT1G07820","VIT_06s0004g03890","AT1G07820",
"Vitvi14g04387",-1.33694181556459,-7.39353514737078,0.00178463935524803,0.0264452023145446,TRUE,"Down","Rpv12+1",6,9,83,,,"14",17556023,17556484,"EDE EDE EDE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi14g01350",-1.91985420599211,-8.44082129509929,0.00107902100396984,0.0267706588387932,TRUE,"Down","Rpv12",6,9,84,"F6GVV2","VIT_14s0083g01100","14",23136565,23139586,"EDE EDE EEE","NP_187502.2 reversibly glycosylated polypeptide 3 [Arabidopsis thaliana]",86.158,"NP_187502.2","RGP3","AT3G08900","VIT_14s0083g01100","AT3G08900","RGP3"
"Vitvi10g04212",-1.20578536206443,-9.64751329268221,0.000645662472947885,0.026905001997728,TRUE,"Down","Rpv12",24,9,85,"E0CW19","VIT_00s0262g00080","10",3893699,3894538,"EED EEE EED","NP_001329810.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana]",37.37,"NP_001329810.1","CRK29","AT4G21410","VIT_00s0262g00080","AT4G21410","CRK29"
"Vitvi15g00248",-1.20630958155423,-7.25028894711282,0.00192116677963484,0.0273233768784044,TRUE,"Down","Rpv12+1",6,9,86,"A5BP73","VIT_15s0107g00320","15",6662756,6665890,"EEE EDE EEE","NP_195053.1 Transducin family protein / WD-40 repeat family protein [Arabidopsis thaliana]",80.131,"NP_195053.1","CDC20.1","AT4G33270","VIT_15s0107g00320","AT4G33270","CDC20.1"
"Vitvi16g01795",-1.09295732324384,-7.16564314621289,0.00200792037873572,0.0277870271766975,TRUE,"Down","Rpv12+1",6,9,87,"F6HAN1","VIT_16s0022g00870","16",13129888,13131115,"EDE EDE EEE","NP_201042.2 Plant invertase/pectin methylesterase inhibitor superfamily protein [Arabidopsis thaliana]",55.897,"NP_201042.2",,"AT5G62360","VIT_16s0022g00870","AT5G62360",
"Vitvi18g02927",-3.89211459841503,-7.16177347909584,0.00201200079753606,0.027828778472897,TRUE,"Down","Rpv12+1",6,9,88,"F6HJD7","VIT_18s0001g02400","18",21389745,21393087,"EDE EDE EDE","NP_196498.1 laccase 14 [Arabidopsis thaliana]",45.664,"NP_196498.1","LAC14","AT5G09360","VIT_18s0001g02400","AT5G09360","LAC14"
"Vitvi07g01603",-1.02047576683378,-7.67391281413956,0.00155042560361554,0.0279867053703073,TRUE,"Down","Rpv12+1+3",6,9,89,"F6HSU0","VIT_07s0129g00250","7",23975175,23985606,"EEE EEE EDE","NP_179089.1 Phototropic-responsive NPH3 family protein [Arabidopsis thaliana]",61.436,"NP_179089.1","NPY2","AT2G14820","VIT_07s0129g00250","AT2G14820","NPY2"
"Vitvi07g02097",-1.67894362098242,-8.21166906404886,0.00119857086167718,0.0280471338180171,TRUE,"Down","Rpv12",6,9,90,"D7T3I0","VIT_00s0179g00340","7",756846,759272,"EDE EDE EEE","NP_191019.1 histone H2A 11 [Arabidopsis thaliana]",90.977,"NP_191019.1","HTA11","AT3G54560","VIT_00s0179g00340","AT3G54560","HTA11"
"Vitvi01g01753",-1.26679455211592,-8.11836062536546,0.00125192226073776,0.0284646959634175,TRUE,"Down","Rpv12",6,9,91,"D7TYT7","VIT_01s0244g00100","1",23513344,23516342,"EDE EEE EEE","NP_973926.1 serine carboxypeptidase-like 45 [Arabidopsis thaliana]",78.618,"NP_973926.1","SCPL45","AT1G28110","VIT_01s0244g00100","AT1G28110","SCPL45"
"Vitvi13g00082",-1.07304042443027,-8.1108838868229,0.00125632327707391,0.0284646959634175,TRUE,"Down","Rpv12",6,9,92,"D7T4L9","VIT_13s0067g01420","13",805391,808297,"EDE EDE EEE","NP_196233.1 Cyclin family protein [Arabidopsis thaliana]",56.317,"NP_196233.1","CYC1BAT","AT5G06150","VIT_13s0067g01420","AT5G06150","CYC1BAT"
"Vitvi19g02278",-1.47861518598845,-8.13269605577247,0.00124353726380426,0.0284646959634175,TRUE,"Down","Rpv12",6,9,93,"D7SXB7","VIT_14s0108g00740","19",20915926,20916266,"EDE EEE EEE","NP_197027.1 GAST1 protein homolog 4 [Arabidopsis thaliana]",64.486,"NP_197027.1","GASA4","AT5G15230","VIT_14s0108g00740","AT5G15230","GASA4"
"Vitvi08g00803",1.15577621298931,9.23134811667103,0.000765344476928099,0.0284808391332128,TRUE,"Up","Rpv12",24,9,94,"F6HC94","VIT_13s0067g02190","8",9981004,9982644,"EEU EEE EEE","NP_196154.1 PLAC8 family protein [Arabidopsis thaliana]",59.249,"NP_196154.1",,"AT5G05350","VIT_13s0067g02190","AT5G05350",
"Vitvi19g00108",-1.09354250233088,-8.09168965423849,0.00126770952075872,0.0285922860397945,TRUE,"Down","Rpv12",6,9,95,"F6H2N3","VIT_19s0014g01350","19",1685433,1687814,"EDE EEE EEE","NP_850374.1 LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640) [Arabidopsis thaliana]",77.143,"NP_850374.1","LSH10","AT2G42610","VIT_19s0014g01350","AT2G42610","LSH10"
"Vitvi09g00512",-1.94765135894474,-7.83379501825155,0.00143382786058891,0.0304313392406741,TRUE,"Down","Rpv12",6,9,96,"D7U0V7","VIT_09s0002g05930","9",5740207,5742630,"EDE EEE EEE","NP_196703.1 transmembrane protein, putative (Protein of unknown function, DUF642) [Arabidopsis thaliana]",69.337,"NP_196703.1",,"AT5G11420","VIT_09s0002g05930","AT5G11420",
"Vitvi19g04361",1.84939183693865,6.71288019585831,0.00256359384536548,0.0310104636390107,TRUE,"Up","Rpv12+1",6,9,97,"D7UB02","VIT_19s0015g02520","19",12832013,12836019,"EEE EUE EUE","NP_001325567.1 cytochrome P450, family 72, subfamily A, polypeptide 15 [Arabidopsis thaliana]",55.106,"NP_001325567.1","CYP72A15","AT3G14690","VIT_19s0015g02520","AT3G14690","CYP72A15"
"Vitvi05g01780",-2.50467860184209,-6.96017111012147,0.00223949431069895,0.0311262918770331,TRUE,"Down","Rpv12+1+3",6,9,98,"F6H715","VIT_05s0077g00770","5",1329916,1330604,"EEE EEE EDE","a match not found in blastP with e-value<0.000001",,,,,"VIT_05s0077g00770",,
"Vitvi18g02146",-1.2385077533933,-6.92023329221172,0.00228826213526303,0.0313009495227321,TRUE,"Down","Rpv12+1+3",6,9,99,"D7U911","VIT_18s0041g02150","18",30962940,30965585,"EDE EEE EDE","NP_974125.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",68.468,"NP_974125.1",,"AT1G71691","VIT_18s0041g02150","AT1G71691",
"Vitvi10g01053",1.22688958810353,11.3009047083197,0.000349430684488748,0.0317585928930497,TRUE,"Up","Rpv12",0,9,100,"F6HM11","VIT_10s0003g05570","10",15089365,15091178,"UEE EEE EEE","NP_174357.1 FAD-binding Berberine family protein [Arabidopsis thaliana]",61.101,"NP_174357.1",,"AT1G30700","VIT_10s0003g05570","AT1G30700",
"Vitvi14g02559",-1.14621658821471,-6.5324091156297,0.0028371419138994,0.0321973860101565,TRUE,"Down","Rpv12+1",6,9,101,"F6HYZ5","VIT_14s0128g00460","14",2771639,2777960,"EEE EDE EEE","NP_198107.3 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]",61.562,"NP_198107.3",,"AT5G27550","VIT_14s0128g00460","AT5G27550",
"Vitvi13g04086",-1.18913797348154,-6.46636832990177,0.00294615451991212,0.0327797268841753,TRUE,"Down","Rpv12+1",6,9,102,"A5B4J3","VIT_06s0004g03890","13",2764307,2764618,"EDE EDE EEE","NP_850939.1 Histone superfamily protein [Arabidopsis thaliana]",100,"NP_850939.1",,"AT1G07820","VIT_06s0004g03890","AT1G07820",
"Vitvi10g01549",-1.11643203571686,-7.45951306304949,0.00172579566293607,0.0328462839111659,TRUE,"Down","Rpv12",6,9,103,"F6HVY6","VIT_10s0071g00870","10",23743446,23745626,"EDE EDE EEE","NP_568431.1 high-mobility group box 6 [Arabidopsis thaliana]",60.345,"NP_568431.1","HMGB6","AT5G23420","VIT_10s0071g00870","AT5G23420","HMGB6"
"Vitvi01g01169",-1.03461197708403,-7.36183754027036,0.00181379024669469,0.0335679469347618,TRUE,"Down","Rpv12",6,9,104,"D7TA54","VIT_01s0010g00020","1",15554099,15557127,"EDE UEE EDE","NP_199281.1 DNA glycosylase superfamily protein [Arabidopsis thaliana]",54.242,"NP_199281.1",,"AT5G44680","VIT_01s0010g00020","AT5G44680",
"Vitvi04g00635",-1.00685785269498,-7.30961862547636,0.00186310769665404,0.0339497285376408,TRUE,"Down","Rpv12",6,9,105,"F6H3K2","VIT_04s0008g07040","4",7092541,7094828,"EDE EDE EEE","NP_194904.3 peroxidase superfamily protein [Arabidopsis thaliana]",63.11,"NP_194904.3",,"AT4G31760","VIT_04s0008g07040","AT4G31760",
"Vitvi12g00025",-1.5152575496745,-6.36458744624488,0.0031244514247594,0.0341251124100704,TRUE,"Down","Rpv12+1+3",6,9,106,"F6HNZ6","VIT_12s0142g00240","12",508678,510286,"EEE EEE EDE","NP_181812.1 protodermal factor 1 [Arabidopsis thaliana]",59.239,"NP_181812.1","PDF1","AT2G42840","VIT_12s0142g00240","AT2G42840","PDF1"
"Vitvi01g00816",-5.2297870756105,-6.33256596651852,0.00318327427832499,0.0343844481661059,TRUE,"Down","Rpv12+1+3",6,9,107,"D7TNN1","VIT_01s0026g00570","1",9646881,9648116,"EDE EEE EDE","NP_173813.1 MLP-like protein 423 [Arabidopsis thaliana]",56.209,"NP_173813.1","MLP423","AT1G24020","VIT_01s0026g00570","AT1G24020","MLP423"
"Vitvi17g00040",-1.05524756574106,-6.2240149291085,0.00339308559860514,0.0348384417769494,TRUE,"Down","Rpv12+1",6,9,108,"A5BLT6","VIT_17s0000g00370","17",1059318,1062398,"EEE EDE EEE","NP_973926.1 serine carboxypeptidase-like 45 [Arabidopsis thaliana]",76.026,"NP_973926.1","SCPL45","AT1G28110","VIT_17s0000g00370","AT1G28110","SCPL45"
"Vitvi03g00691",-2.60604271826792,-6.2180957638071,0.0034050079941507,0.0349316499429186,TRUE,"Down","Rpv12+1+3",6,9,109,"F6H691","VIT_03s0091g01200","3",7878833,7884983,"EDE EDE EDE","NP_001319134.1 serine carboxypeptidase-like 18 [Arabidopsis thaliana]",50.664,"NP_001319134.1","scpl18","AT1G33540","VIT_03s0091g01200","AT1G33540","scpl18"
"Vitvi07g01844",-4.40854483547646,-6.20252398622675,0.00343661951419383,0.0350360224620738,TRUE,"Down","Rpv12+1+3",6,9,110,"F6H4B3","VIT_07s0031g01680","7",26257691,26259214,"EEE EEE EDE","NP_001031814.1 cytochrome P450, family 96, subfamily A, polypeptide 10 [Arabidopsis thaliana]",55.405,"NP_001031814.1","CYP96A10","AT4G39490","VIT_07s0031g01680","AT4G39490","CYP96A10"
"Vitvi10g01384",-2.24262052658876,-9.91191362337538,0.000581582617759426,0.0353709089301218,TRUE,"Down","Rpv12",0,9,111,"D7TEX4","VIT_10s0042g00960","10",20539904,20543135,"DEE EEE EEE","NP_197715.1 DNAJ heat shock N-termiNAl domain-containing protein [Arabidopsis thaliana]",56.72,"NP_197715.1",,"AT5G23240","VIT_10s0042g00960","AT5G23240",
"Vitvi10g01505",-3.87884768409448,-6.15096059690069,0.00354390326324689,0.0354770747170629,TRUE,"Down","Rpv12+1+3",6,9,112,"D7TY23","VIT_10s0071g00250","10",22876133,22877618,"EEE EEE EDE","NP_191262.2 Calcium-dependent phosphotriesterase superfamily protein [Arabidopsis thaliana]",49.689,"NP_191262.2",,"AT3G57030","VIT_10s0071g00250","AT3G57030",
"Vitvi11g01098",-1.66089237974981,-7.15225579235654,0.00202208046617868,0.0355004875003046,TRUE,"Down","Rpv12",6,9,113,"D7UBL5","VIT_11s0103g00190","11",15968972,15970407,"EDE EEE EEE","NP_565337.1 Phospholipase A2 family protein [Arabidopsis thaliana]",71.333,"NP_565337.1","PLA2-ALPHA","AT2G06925","VIT_11s0103g00190","AT2G06925","PLA2-ALPHA"
"Vitvi19g01726",-1.1765929534506,-6.12719115752713,0.003594742905298,0.035659904127651,TRUE,"Down","Rpv12+1+3",6,9,114,"F6H9U3","VIT_19s0085g00740","19",23569687,23571026,"EEE EEE EDE","NP_187881.1 zinc transporter 1 precursor [Arabidopsis thaliana]",61.157,"NP_187881.1","ZIP1","AT3G12750","VIT_19s0085g00740","AT3G12750","ZIP1"
"Vitvi06g01010",3.78365195801604,6.07207520405132,0.00371611963375474,0.0361710428600151,TRUE,"Up","Rpv12+1",6,9,115,"D7T1K7","VIT_06s0009g01140","6",12615872,12618463,"EEE EUE EEE","NP_189538.2 Transmembrane amino acid transporter family protein [Arabidopsis thaliana]",58.105,"NP_189538.2",,"AT3G28960","VIT_06s0009g01140","AT3G28960",
"Vitvi11g01227",-3.19911828999847,-5.99220216436463,0.0039010854429448,0.0368946530380999,TRUE,"Down","Rpv12+1",6,9,116,"F6GXH4","VIT_11s0052g00790","11",18472213,18477121,"EEE EDE EDE","NP_001319134.1 serine carboxypeptidase-like 18 [Arabidopsis thaliana]",49.217,"NP_001319134.1","scpl18","AT1G33540","VIT_11s0052g00790","AT1G33540","scpl18"
"Vitvi07g00619",-1.07685298807824,-5.94213814656926,0.00402279763847901,0.0372119446452305,TRUE,"Down","Rpv12+1+3",6,9,117,"F6HZL6","VIT_07s0005g03610","7",6894628,6897664,"EEE EEE EDE","NP_567811.1 NAC domain containing protein 74 [Arabidopsis thaliana]",72.881,"NP_567811.1","NAC074","AT4G28530","VIT_07s0005g03610","AT4G28530","NAC074"
"Vitvi07g04204",1.01887403300944,5.9550754591514,0.0039909039475852,0.0372618598275637,TRUE,"Up","Rpv12+1",6,9,118,"D6CH11","VIT_07s0005g05580","7",10057743,10057994,"EEE EUU EEE","NP_568662.1 O-acetyltransferase family protein [Arabidopsis thaliana]",79.412,"NP_568662.1","RWA1","AT5G46340","VIT_07s0005g05580","AT5G46340","RWA1"
"Vitvi04g01275",-1.19009269372013,-6.89114410165493,0.00232460886788352,0.0373048631178844,TRUE,"Down","Rpv12",6,9,119,"F6GWX2","VIT_04s0023g01610","4",18382001,18390080,"EDE EEE EEE","NP_201476.1 chromatin remodeling 1 [Arabidopsis thaliana]",73.062,"NP_201476.1","CHR1","AT5G66750","VIT_04s0023g01610","AT5G66750","CHR1"
"Vitvi07g00177",-1.35797451425125,-5.93606194834785,0.00403788491798575,0.0374574301378125,TRUE,"Down","Rpv12+1",6,9,120,"D7TPB2","VIT_07s0104g00500","7",2140339,2142404,"EEE EDE EEE","NP_567246.1 GRIP/coiled-coil protein [Arabidopsis thaliana]",55.623,"NP_567246.1",,"AT4G02800","VIT_07s0104g00500","AT4G02800",
"Vitvi12g00472",-1.09457491050753,-6.82817515958145,0.00240575759797333,0.0378115739227411,TRUE,"Down","Rpv12",6,9,121,"F6HIG4","VIT_12s0059g01730","12",6611701,6612177,"EDE EEE EDE","NP_179684.1 epidermal patterning factor 1 [Arabidopsis thaliana]",82.258,"NP_179684.1","EPF1","AT2G20875","VIT_12s0059g01730","AT2G20875","EPF1"
"Vitvi15g00406",-1.59332893491757,-5.73726475557076,0.00457214738775937,0.0388094227866886,TRUE,"Down","Rpv12+1+3",6,9,122,"D7SM84","VIT_15s0021g00040","15",10524140,10543933,"EEE EEE EDE","NP_171723.2 Fatty acid hydroxylase superfamily [Arabidopsis thaliana]",64.377,"NP_171723.2","CER1","AT1G02205","VIT_15s0021g00040","AT1G02205","CER1"
"Vitvi15g04492",-1.19573361028316,-5.78295296829736,0.00444203996797032,0.0392185370856327,TRUE,"Down","Rpv12+1",6,9,123,,,"15",18471154,18471578,"EEE EDE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi07g02069",1.19317579766073,12.9349323496283,0.000206055906447615,0.0392409409136951,TRUE,"Up","Rpv12+1",0,9,124,"A5C0S9","VIT_07s0031g00720","7",25358328,25358975,"EEE UEE EEE","NP_195167.1 redox responsive transcription factor 1 [Arabidopsis thaliana]",43.169,"NP_195167.1","RRTF1","AT4G34410","VIT_07s0031g00720","AT4G34410","RRTF1"
"Vitvi12g04351",1.8680212518121,12.9386837796941,0.000205821684195926,0.0392409409136951,TRUE,"Up","Rpv12+1",0,9,125,,,"12",14153115,14153510,"EEE UEE EEE","NP_196514.1 hydroxyproline-rich glycoprotein family protein [Arabidopsis thaliana]",41.6,"NP_196514.1","PELPK2","AT5G09520",,"AT5G09520","PELPK2"
"Vitvi02g01507",-2.40106105822532,-6.65136883818901,0.00265302318539561,0.0393800134648994,TRUE,"Down","Rpv12",6,9,126,,,"2",7653798,7654912,"EDE EDE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi18g04719",1.48441602565159,12.4045731557487,0.000242794210321965,0.039470005093499,TRUE,"Up","Rpv12+1",0,9,127,"D7TL95","VIT_18s0001g04110","18",32855860,32884345,"EEE UEE EEE","NP_001190374.1 terpene synthase 21 [Arabidopsis thaliana]",41.509,"NP_001190374.1","TPS21","AT5G23960","VIT_18s0001g04110","AT5G23960","TPS21"
"Vitvi04g04487",-1.77772836428561,-5.70941723214143,0.00465374332577806,0.0399419298846949,TRUE,"Down","Rpv12+1",6,9,128,,,"4",22527715,22528194,"EDE EDE EDE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi12g00473",-1.12729604493093,-6.58925637307288,0.00274725807737359,0.0399849814387038,TRUE,"Down","Rpv12",6,9,129,"D7TEH4","VIT_12s0059g01740","12",6613802,6618873,"EDE EEE EEE","NP_001321012.1 ELMO/CED-12 family protein [Arabidopsis thaliana]",69.595,"NP_001321012.1",,"AT1G03620","VIT_12s0059g01740","AT1G03620",
"Vitvi01g00639",-1.25675992798968,-5.56443298097636,0.00510858748339406,0.0403658698367747,TRUE,"Down","Rpv12+1+3",6,9,130,"F6GVM0","VIT_01s0137g00750","1",7188702,7193068,"EEE EEE EDE","NP_001321567.1 Protein phosphatase 2C family protein [Arabidopsis thaliana]",51.99,"NP_001321567.1",,"AT1G67820","VIT_01s0137g00750","AT1G67820",
"Vitvi07g04276",6.70810409156561,7.31711369882048,0.00185592818101672,0.0407127252623894,TRUE,"Up","Rpv12",24,9,131,,,"7",13784591,13788296,"EEU EEE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi03g00516",-1.85957266623509,-6.50401054302165,0.00288339982727114,0.0407859719203105,TRUE,"Down","Rpv12",6,9,132,"F6HQ95","VIT_03s0063g00210","3",5657014,5664277,"EDE EEE EEE","NP_849788.2 Protein kiNAse superfamily protein [Arabidopsis thaliana]",62.08,"NP_849788.2",,"AT1G49730","VIT_03s0063g00210","AT1G49730",
"Vitvi08g00910",-1.30286374558268,-6.44752215382493,0.00297820499591074,0.0414162669082286,TRUE,"Down","Rpv12",6,9,133,"F6HQR8","VIT_08s0040g00480","8",11440781,11443132,"EDE EEE EEE","NP_191240.1 hypothetical protein AT3G56810 [Arabidopsis thaliana]",23.544,"NP_191240.1",,"AT3G56810","VIT_08s0040g00480","AT3G56810",
"Vitvi10g01411",1.02987200428717,7.17784025475722,0.00199512564387895,0.0415117644221646,TRUE,"Up","Rpv12",24,9,134,"F6HIQ8","VIT_10s0042g00640","10",21234579,21234968,"EEU EEE EEE","a match not found in blastP with e-value<0.000001",,,,,"VIT_10s0042g00640",,
"Vitvi01g01507",-1.18412527637684,-5.55285146959332,0.00514722073661114,0.0416831177592387,TRUE,"Down","Rpv12+1",6,9,135,"F6HG33","VIT_01s0010g02240","1",20412977,20418294,"EEE EDE EEE","NP_566816.1 transcriptioNAl regulator ATRX-like protein [Arabidopsis thaliana]",62.105,"NP_566816.1",,"AT3G27350","VIT_01s0010g02240","AT3G27350",
"Vitvi14g02893",-2.08640848766685,-5.5402386288421,0.00518970194801937,0.0418344803184419,TRUE,"Down","Rpv12+1",6,9,136,"D7SMR8","VIT_14s0083g00250","14",22008502,22009228,"EEE EDE EEE","a match not found in blastP with e-value<0.000001",,,,,"VIT_14s0083g00250",,
"Vitvi09g00767",-1.87853961951528,-10.2133630957653,0.000517866484940282,0.0427509402031616,TRUE,"Down","Rpv12+1+3",24,9,137,"D7TZD1","VIT_09s0002g08510","9",9558745,9561684,"EEE EEE EED","NP_564860.3 expansin B2 [Arabidopsis thaliana]",59.761,"NP_564860.3","EXPB2","AT1G65680","VIT_09s0002g08510","AT1G65680","EXPB2"
"Vitvi14g00339",-2.43221375825936,-6.31974037176242,0.00320721626568045,0.0428439825791676,TRUE,"Down","Rpv12",6,9,138,"D7TUX2","VIT_14s0030g00660","14",4523139,4526812,"EDE EEE EEE","NP_187286.1 dehydroquiNAte dehydratase, putative / shikimate dehydrogeNAse [Arabidopsis thaliana]",64,"NP_187286.1","MEE32","AT3G06350","VIT_14s0030g00660","AT3G06350","MEE32"
"Vitvi08g01087",-1.29505239043938,-5.35639781255772,0.00586044741083292,0.0445557963053283,TRUE,"Down","Rpv12+1",6,9,139,"F6HQY4","VIT_08s0040g02590","8",13641021,13651019,"EEE EDE EEE","NP_850281.1 ATP binding microtubule motor family protein [Arabidopsis thaliana]",61.217,"NP_850281.1",,"AT2G37420","VIT_08s0040g02590","AT2G37420",
"Vitvi14g01952",-3.75139613873064,-5.07977067360152,0.00708186186520104,0.0454117233889845,TRUE,"Down","Rpv12+1+3",6,9,140,"D7SXB4","VIT_14s0108g00700","14",29990460,29992777,"EEE EEE EDE","NP_198598.1 NOD26-like intrinsic protein 4;2 [Arabidopsis thaliana]",48.954,"NP_198598.1","NIP4;2","AT5G37820","VIT_14s0108g00700","AT5G37820","NIP4;2"
"Vitvi03g00175",-1.09635791418039,-5.29228357281275,0.00611902204467793,0.0455146078268497,TRUE,"Down","Rpv12+1",6,9,141,"D7U512","VIT_03s0038g02800","3",2032775,2036829,"EEE EDE EEE","NP_177758.2 CYCLIN B2;4 [Arabidopsis thaliana]",59.453,"NP_177758.2","CYCB2;4","AT1G76310","VIT_03s0038g02800","AT1G76310","CYCB2;4"
"Vitvi02g00069",-1.48543213705573,-5.26288661877974,0.00624223419827137,0.0459760840795282,TRUE,"Down","Rpv12+1",6,9,142,"F6HUP6","VIT_02s0025g00730","2",587700,588278,"EEE EDE EEE","NP_194100.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]",56.522,"NP_194100.1","DIR6","AT4G23690","VIT_02s0025g00730","AT4G23690","DIR6"
"Vitvi04g01721",-1.01537413431964,-6.00783200855041,0.00386401623768126,0.0463924134202106,TRUE,"Down","Rpv12",6,9,143,"F6I0D2","VIT_04s0044g01540","4",23995097,23996449,"EDE EEE EEE","NP_201358.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]",33.641,"NP_201358.1",,"AT5G65550","VIT_04s0044g01540","AT5G65550",
"Vitvi13g02493",-1.11181033895447,-5.0037593625593,0.00747054423593115,0.0464472967712241,TRUE,"Down","Rpv12+1+3",6,9,144,"D7T323","VIT_13s0064g00750","13",26944230,26947655,"EEE EEE EDE","NP_187454.2 Pectin lyase-like superfamily protein [Arabidopsis thaliana]",51.293,"NP_187454.2","QRT2","AT3G07970","VIT_13s0064g00750","AT3G07970","QRT2"
