ENSMBL_geneID	Uniprot_proteinID	NCBI_refeT2T_geneID
Vitvi06g01133	F6HAD7	VIT_06s0009g02390
Vitvi06g01134	F6HAD6	VIT_06s0009g02410
Vitvi06g01138	F6HAD4	VIT_06s0009g02450
Vitvi06g01139	F6HAD1	VIT_06s0009g02480
Vitvi06g01140	F6HAD0	VIT_06s0009g02490
Vitvi06g01144	D7T1B2	VIT_06s0009g02500
Vitvi06g01146	F6HAC9	VIT_06s0009g02510
Vitvi06g01147	F6HAC8	VIT_06s0009g02520
Vitvi06g01148	D7T1A9	VIT_06s0009g02530
Vitvi06g01149	D7T1A7	VIT_06s0009g02550
Vitvi06g01161	D7T1A1	VIT_06s0009g02640
Vitvi06g01162	D7T199	VIT_06s0009g02660
Vitvi06g01163	F6HA99	VIT_06s0009g02680
Vitvi06g01165	F6HA97	VIT_06s0009g02700
Vitvi06g01166	F6HA96	VIT_06s0009g02710
Vitvi06g01167	F6HA95	VIT_06s0009g02740
Vitvi06g01168	A5AES3	VIT_06s0009g02770
Vitvi06g01169	F6HA94	VIT_06s0009g02780
Vitvi06g01172	D7T187	VIT_06s0009g02790
Vitvi06g01175	F6GVD5	VIT_15s0021g00980
Vitvi06g01195	F6HA61	VIT_06s0009g03080
Vitvi06g01211	D7T176	VIT_06s0009g03170
Vitvi06g01212	F6HA53	VIT_06s0009g03190
Vitvi06g01214	D7T174	VIT_06s0009g03200
Vitvi06g01215	A5C9B4	VIT_06s0009g03210
Vitvi06g01217	F6HA50	VIT_06s0009g03240
Vitvi06g01218	D7T170	VIT_06s0009g03260
Vitvi06g01220	F6HA49	VIT_06s0009g03290
Vitvi06g01222	F6HA48	VIT_06s0009g03300
Vitvi06g01225	F6HA45	VIT_06s0009g03330
Vitvi06g01226	F6HA44	VIT_06s0009g03350
Vitvi06g01227	F6HA43	VIT_06s0009g03360
Vitvi06g01231	F6HA41	VIT_06s0009g03380
Vitvi06g01233	A5C989	VIT_06s0009g03390
Vitvi06g01236	F6HA38	VIT_06s0009g03420
Vitvi06g01237	F6HA47	VIT_06s0009g03430
Vitvi06g01238	D7T159	VIT_06s0009g03440
Vitvi06g01239	F6HA24	VIT_06s0009g03450
Vitvi06g01240	D7T157	VIT_06s0009g03470
Vitvi06g01241	F6HA22	VIT_06s0009g03510
Vitvi06g01242	D7T153	VIT_06s0009g03520
Vitvi06g01244	F6HA21	VIT_06s0009g03530
Vitvi06g01245	F6HA19	VIT_06s0009g03550
Vitvi06g01246	F6HA18	VIT_06s0009g03560
Vitvi06g01250	F6HA17	VIT_06s0009g03610
Vitvi06g01251	F6HA15	VIT_06s0009g03630
Vitvi06g01252	F6HA14	VIT_06s0009g03640
Vitvi06g01253	D7T142	VIT_06s0009g03650
Vitvi06g01254	D7T141	VIT_06s0009g03660
Vitvi06g01255	F6HA13	VIT_06s0009g03670
Vitvi06g01259	F6HA10	VIT_06s0009g03730
Vitvi06g01261	F6HA09	VIT_06s0009g03740
Vitvi06g01262	F6HA08	VIT_06s0009g03750
Vitvi06g01263	F6I1N6	VIT_01s0146g00240
Vitvi06g01265	F6HA07	VIT_06s0009g03770
Vitvi06g01266	D7T131	VIT_06s0009g03780
Vitvi06g01267	F6HA06	VIT_06s0009g03800
Vitvi06g01268	D7T129	VIT_06s0009g03810
Vitvi06g01269	D7SNG8	VIT_06s0061g00010
Vitvi06g01270	D7SNG7	VIT_06s0061g00020
Vitvi06g01271	D7SNG6	VIT_06s0061g00030
Vitvi06g01272	D7SNG5	VIT_06s0061g00040
Vitvi06g01273	D7UAL3	VIT_19s0015g00930
Vitvi06g01274	D7SNG3	VIT_06s0061g00060
Vitvi06g01275	A5BHQ5	VIT_06s0061g00070
Vitvi06g01276	D7SNG1	VIT_06s0061g00080
Vitvi06g01279	F6GWB8	VIT_06s0061g00090
Vitvi06g01281	F6GWB3	VIT_06s0061g00150
Vitvi06g01282	D7SNF3	VIT_06s0061g00170
Vitvi06g01283	D7SNF2	VIT_06s0061g00180
Vitvi06g01286	D7SNF1	VIT_06s0061g00220
Vitvi06g01288	D7SNF0	VIT_06s0061g00230
Vitvi06g01289	F6GWB1	VIT_06s0061g00240
Vitvi06g01290	F6GWB1	VIT_06s0061g00240
Vitvi06g01293	F6GWA9	VIT_06s0061g00260
Vitvi06g01295	F6GWA8	VIT_06s0061g00270
Vitvi06g01297	F6GWA7	VIT_06s0061g00280
Vitvi06g01298	D7SNE5	VIT_06s0061g00300
Vitvi06g01302	F6GWA4	VIT_06s0061g00330
Vitvi06g01306	D7SNE0	VIT_06s0061g00350
Vitvi06g01307	F6GWA2	VIT_06s0061g00360
Vitvi06g01309	D7SND7	VIT_06s0061g00380
Vitvi06g01310	F6GWA1	VIT_06s0061g00390
Vitvi06g01313	F6GWA0	VIT_06s0061g00410
Vitvi06g01314	D7SND3	VIT_06s0061g00430
Vitvi06g01315	D7SND2	VIT_06s0061g00440
Vitvi06g01318	F6GW98	VIT_06s0061g00450
Vitvi06g01320	D7SND0	VIT_06s0061g00460
Vitvi06g01321	F6GW97	VIT_06s0061g00470
Vitvi06g01323	F6GW96	VIT_06s0061g00480
Vitvi06g01324	D7SNC7	VIT_06s0061g00490
Vitvi06g01325	A7PQS0	METK1
Vitvi06g01327	D7SNC5	VIT_06s0061g00510
Vitvi06g01328	F6GW93	VIT_06s0061g00540
Vitvi06g01329	D7SNC1	VIT_06s0061g00550
Vitvi06g01330	D7SNC0	VIT_06s0061g00560
Vitvi06g01334	F6GW92	VIT_06s0061g00590
Vitvi06g01335	D7SNB6	VIT_06s0061g00610
Vitvi06g01340	F6GW86	VIT_06s0061g00680
Vitvi06g01341	F6GW85	VIT_06s0061g00690
Vitvi06g01343	A5AGU0	VIT_06s0061g00700
Vitvi06g01344	D7SNA6	VIT_06s0061g00710
Vitvi06g01345	D7SNA5	VIT_06s0061g00720
Vitvi06g01346	F6GW83	VIT_06s0061g00730
Vitvi06g01348	F6GW82	VIT_06s0061g00740
Vitvi06g01349	D7SNA2	VIT_06s0061g00750
Vitvi06g01350	F6GW81	VIT_06s0061g00760
Vitvi06g01351	F6GW80	VIT_06s0061g00770
Vitvi06g01353	F6GW79	VIT_06s0061g00780
Vitvi06g01354	D7SN98	VIT_06s0061g00790
Vitvi06g01357	F6GW77	VIT_06s0061g00850
Vitvi06g01358	F6GW76	VIT_06s0061g00860
Vitvi06g01359	F6H0Y6	VIT_18s0001g06670
Vitvi06g01362	A5C816	VIT_06s0061g00890
Vitvi06g01364	D7SN86	VIT_06s0061g00940
Vitvi06g01365	F6GW72	VIT_06s0061g00950
Vitvi06g01374	F6GW69	VIT_06s0061g01000
Vitvi06g01375	F6GW68	VIT_06s0061g01010
Vitvi06g01376	D7SN79	VIT_06s0061g01020
Vitvi06g01377	D7SN78	VIT_06s0061g01030
Vitvi06g01378	D7SN77	VIT_06s0061g01040
Vitvi06g01380	F6GW67	VIT_06s0061g01050
Vitvi06g01383	F6GW66	VIT_06s0061g01060
Vitvi06g01385	F6GW65	VIT_06s0061g01070
Vitvi06g01386	D7SN73	VIT_06s0061g01080
Vitvi06g01387	F6GW64	VIT_06s0061g01110
Vitvi06g01388	F6GW64	VIT_06s0061g01110
Vitvi06g01389	D7SN69	VIT_06s0061g01120
Vitvi06g01391	F6GW60	VIT_06s0061g01160
Vitvi06g01392	D7SN66	VIT_06s0061g01170
Vitvi06g01394	F6GW59	VIT_06s0061g01180
Vitvi06g01395	F6GW58	VIT_06s0061g01190
Vitvi06g01396	F6GW57	VIT_06s0061g01210
Vitvi06g01397	D7T690	VIT_05s0020g00790
Vitvi06g01398	F6GW55	VIT_06s0061g01230
Vitvi06g01399	D7SN59	VIT_06s0061g01240
Vitvi06g01400	F6GW54	VIT_06s0061g01250
Vitvi06g01401	D7SN57	VIT_06s0061g01260
Vitvi06g01404	F6GW51	VIT_06s0061g01310
Vitvi06g01406	D7TJ26	VIT_08s0007g03850
Vitvi06g01407	F6GW48	VIT_06s0061g01340
Vitvi06g01408	F6GW46	VIT_06s0061g01360
Vitvi06g01409	F6GW45	VIT_06s0061g01370
Vitvi06g01410	A5C6X0	VIT_06s0061g01380
Vitvi06g01411	F6GW43	CBF2
Vitvi06g01414	F6GW42	VIT_06s0061g01400
Vitvi06g01415	D7SN44	VIT_06s0061g01410
Vitvi06g01416	D7SN43	VIT_06s0061g01420
Vitvi06g01417	F6GW41	VIT_06s0061g01430
Vitvi06g01418	D7SN42	VIT_06s0061g01440
Vitvi06g01419	D7SN41	VIT_06s0061g01450
Vitvi06g01427	F6GW38	VIT_06s0061g01520
Vitvi06g01428	D7SN33	VIT_06s0061g01530
Vitvi06g01429	F6GW37	VIT_06s0061g01540
Vitvi06g01430	F6GW35	VIT_06s0061g01560
Vitvi06g01433	D7SN28	VIT_06s0061g01600
Vitvi06g01435	F6GW32	VIT_06s0061g01610
Vitvi06g01442	D7TCZ1	VIT_06s0080g00010
Vitvi06g01443	D7TCZ0	VIT_06s0080g00020
Vitvi06g01444	F6HHH7	VIT_06s0080g00030
Vitvi06g01446	D7TJ30	VIT_08s0007g03800
Vitvi06g01447	F6HHH6	VIT_06s0080g00040
Vitvi06g01454	F6HHH2	VIT_06s0080g00090
Vitvi06g01455	D7TCY1	VIT_06s0080g00110
Vitvi06g01456	D7TCY0	VIT_06s0080g00120
Vitvi06g01457	D7TCX9	VIT_06s0080g00130
Vitvi06g01458	D7TCX8	VIT_06s0080g00140
Vitvi06g01459	D7TCX7	VIT_06s0080g00150
Vitvi06g01460	F6HHH1	VIT_06s0080g00160
Vitvi06g01462	D7TCX5	VIT_06s0080g00170
Vitvi06g01465	D7TCX1	VIT_06s0080g00210
Vitvi06g01467	F6HHH0	VIT_06s0080g00230
Vitvi06g01468	D7TCW8	VIT_06s0080g00240
Vitvi06g01469	F6HHG9	VIT_06s0080g00250
Vitvi06g01470	D7TCW5	VIT_06s0080g00260
Vitvi06g01471	A5AUF7	VIT_06s0080g00270
Vitvi06g01472	D7TCW3	VIT_06s0080g00280
Vitvi06g01476	D7TCV8	VIT_06s0080g00320
Vitvi06g01477	F6HHG5	VIT_06s0080g00330
Vitvi06g01479	F6HHG4	VIT_06s0080g00350
Vitvi06g01480	D7TCV4	VIT_06s0080g00360
Vitvi06g01481	A5C1P7	VIT_06s0080g00370
Vitvi06g01485	F6HHG3	VIT_06s0080g00390
Vitvi06g01486	F6HHG2	VIT_06s0080g00400
Vitvi06g01487	F6HHG1	VIT_06s0080g00410
Vitvi06g01489	F6HHG0	VIT_06s0080g00420
Vitvi06g01491	A5AZM9	VIT_06s0080g00440
Vitvi06g01492	D7TCU3	VIT_06s0080g00460
Vitvi06g01493	F6HHF8	VIT_06s0080g00470
Vitvi06g01498	D7TCU0	VIT_06s0080g00510
Vitvi06g01499	F6HHF7	VIT_06s0080g00530
Vitvi06g01501	F6HHF5	VIT_06s0080g00550
Vitvi06g01502	D7TCT6	VIT_06s0080g00560
Vitvi06g01504	F6HHF3	VIT_06s0080g00580
Vitvi06g01505	D7TCT3	VIT_06s0080g00590
Vitvi06g01506	F6HHF1	VIT_06s0080g00610
Vitvi06g01507	F6HHE9	VIT_06s0080g00660
Vitvi06g01508	F6HHE9	VIT_06s0080g00660
Vitvi06g01512	D7TJA4	VIT_08s0007g02950
Vitvi06g01513	A5BY12	VIT_06s0080g00760
Vitvi06g01515	F6HHE2	VIT_06s0080g00780
Vitvi06g01516	F6HHE1	VIT_06s0080g00790
Vitvi06g01517	D7TCR8	VIT_06s0080g00800
Vitvi06g01518	F6HHE0	VIT_06s0080g00810
Vitvi06g01521	F6HHD8	VIT_06s0080g00830
Vitvi06g01522	A7QF77	VIT_06s0080g00840
Vitvi06g01523	F6HHD7	VIT_06s0080g00850
Vitvi06g01524	D7TCR4	VIT_06s0080g00860
Vitvi06g01526	D7TCR2	VIT_06s0080g00880
Vitvi06g01527	D7TCR1	VIT_06s0080g00890
Vitvi06g01529	D7TCR0	VIT_06s0080g00900
Vitvi06g01530	F6HHD6	VIT_06s0080g00910
Vitvi06g01531	D7TCQ9	VIT_06s0080g00920
Vitvi06g01532	F6HHD5	VIT_06s0080g00930
Vitvi06g01533	F6HHD4	VIT_06s0080g00940
Vitvi06g01536	F6HHD1	VIT_06s0080g00970
Vitvi06g01537	F6HHD0	VIT_06s0080g00980
Vitvi06g01538	F6HHC9	VIT_06s0080g00990
Vitvi06g01539	F6HHC8	VIT_06s0080g01000
Vitvi06g01542	F6HHC3	VIT_06s0080g01060
Vitvi06g01543	F6HKQ3	VIT_08s0007g02600
Vitvi06g01545	A5BID6	VIT_06s0080g01080
Vitvi06g01546	F6HHC1	VIT_06s0080g01090
Vitvi06g01549	F6HKQ7	VIT_08s0007g02550
Vitvi06g01551	D7TCP7	VIT_06s0080g01100
Vitvi06g01552	D7TCP6	VIT_06s0080g01110
Vitvi06g01553	D7TCP5	VIT_06s0080g01120
Vitvi06g01555	A5ACY7	VIT_06s0080g01150
Vitvi06g01556	F6HHB9	VIT_06s0080g01160
Vitvi06g01557	F6H077	VIT_18s0001g14020
Vitvi06g01559	D7TCP0	VIT_06s0080g01200
Vitvi06g01560	F6HHB7	VIT_06s0080g01220
Vitvi06g01562	A5ALT5	VIT_06s0080g01230
Vitvi06g01563	D7TCN7	VIT_06s0080g01240
Vitvi06g01564	D7TCN6	VIT_06s0080g01260
Vitvi06g01569	F6GV02	VIT_06s0004g04950
Vitvi06g01573	D7SLN5	VIT_06s0004g00180
Vitvi06g01574	F6GUN9	VIT_06s0004g00230
Vitvi06g01575	D7SLM8	VIT_06s0004g00250
Vitvi06g01580	D7SLL6	VIT_06s0004g00380
Vitvi06g01581	D7SLL5	VIT_06s0004g00390
Vitvi06g01582	F6HLB7	VIT_08s0007g07360
Vitvi06g01583	F6HYC3	VIT_09s0002g03910
Vitvi06g01588	D7SLI0	VIT_06s0004g00740
Vitvi06g01590	F6GUJ7	VIT_06s0004g00800
Vitvi06g01592	D7U9Q2	VIT_05s0062g01390
Vitvi06g01593	F6GUJ2	VIT_06s0004g00960
Vitvi06g01594	F6GUJ2	VIT_06s0004g00960
Vitvi06g01596	F6GUJ0	VIT_06s0004g00980
Vitvi06g01597	D7SLF7	VIT_06s0004g00990
Vitvi06g01598	F6GUI9	VIT_06s0004g01000
Vitvi06g01599	F6GUI8	VIT_06s0004g01010
Vitvi06g01600	F6GUI8	VIT_06s0004g01010
Vitvi06g01601	D7SLF5	VIT_06s0004g01020
Vitvi06g01602	F6GUI8	VIT_06s0004g01010
Vitvi06g01603	F6GUI8	VIT_06s0004g01010
Vitvi06g01605	F6GUI8	VIT_06s0004g01010
Vitvi06g01606	F6GUG0	VIT_06s0004g01050
Vitvi06g01607	F6HPS2	VIT_13s0156g00100
Vitvi06g01608	D7SLE3	VIT_06s0004g01140
Vitvi06g01611	F6GUD6	VIT_06s0004g01390
Vitvi06g01612	F6GUD6	VIT_06s0004g01390
Vitvi06g01613	F6GUD6	VIT_06s0004g01390
Vitvi06g01615	F6GUD3	VIT_06s0004g01420
Vitvi06g01617	F6HKT4	VIT_08s0007g02020
Vitvi06g01618	F6HKT4	VIT_08s0007g02020
Vitvi06g01622	F6GX07	VIT_04s0023g01020
Vitvi06g01628	F6GU52	VIT_06s0004g01980
Vitvi06g01629	F6GU51	VIT_06s0004g01990
Vitvi06g01631	F6GU47	VIT_06s0004g02080
Vitvi06g01633	D7SL42	VIT_06s0004g02190
Vitvi06g01635	D7SL39	VIT_06s0004g02230
Vitvi06g01636	F6GU39	VIT_06s0004g02250
Vitvi06g01637	A5C2N1	VIT_13s0064g00670
Vitvi06g01644	D7SL25	VIT_06s0004g02380
Vitvi06g01647	F6GU24	VIT_06s0004g02540
Vitvi06g01648	F6GU23	VIT_06s0004g02550
Vitvi06g01649	F6GU22	VIT_06s0004g02560
Vitvi06g01658	F6GU05	VIT_06s0004g02860
Vitvi06g01659	D7SKW8	VIT_06s0004g03030
Vitvi06g01661	D7SKW2	VIT_06s0004g03100
Vitvi06g01662	D7SKV6	VIT_06s0004g03160
Vitvi06g01664	D7SN36	VIT_06s0061g01500
Vitvi06g01665	F6GTX5	VIT_06s0004g03400
Vitvi06g01667	F6GTW8	VIT_06s0004g03530
Vitvi06g01672	F6GTV6	VIT_06s0004g03830
Vitvi06g01673	F6GTV5	VIT_06s0004g03840
Vitvi06g01675	F6GTV4	VIT_06s0004g03860
Vitvi06g01676	D7SKN8	VIT_06s0004g03870
Vitvi06g01678	D7SKN3	VIT_06s0004g03930
Vitvi06g01681	D7SKL9	VIT_06s0004g04070
Vitvi06g01682	F6GV44	VIT_06s0004g04180
Vitvi06g01683	D7SKK5	VIT_06s0004g04210
Vitvi06g01684	F6GV40	VIT_06s0004g04240
Vitvi06g01685	F6GV39	VIT_06s0004g04250
Vitvi06g01688	F6GV38	VIT_06s0004g04260
Vitvi06g01689	F6GV34	VIT_06s0004g04310
Vitvi06g01690	D7SKJ6	VIT_06s0004g04320
Vitvi06g01693	A5C0Z3	VIT_06s0004g04510
Vitvi06g01694	F6GV21	VIT_06s0004g04540
Vitvi06g01695		
Vitvi06g01696	D7SKG1	VIT_06s0004g04660
Vitvi06g01700	F6GV10	VIT_06s0004g04730
Vitvi06g01703	D7SKF1	VIT_06s0004g04780
Vitvi06g01704	D7SKE3	VIT_06s0004g04870
Vitvi06g01705	F6HZR4	VIT_07s0005g04420
Vitvi06g01706	F6HNW2	VIT_13s0019g01870
Vitvi06g01708	D7SKB9	VIT_06s0004g05110
Vitvi06g01718	D7SK90	VIT_06s0004g05380
Vitvi06g01722	D7SK67	VIT_06s0004g05640
Vitvi06g01723	D7SK66	VIT_06s0004g05650
Vitvi06g01724	F6GUW8	VIT_06s0004g05670
Vitvi06g01725	F6GUW8	VIT_06s0004g05670
Vitvi06g01727	F6GUW5	VIT_06s0004g05700
Vitvi06g01728	F6GUW8	VIT_06s0004g05670
Vitvi06g01729	D7SK60	VIT_06s0004g05750
Vitvi06g01732	D7SK51	VIT_06s0004g05830
Vitvi06g01734	D7THD8	VIT_08s0007g01560
Vitvi06g01736	F6GUV3	VIT_06s0004g05930
Vitvi06g01737	F6H3T5	VIT_04s0008g04890
Vitvi06g01738	F6GU37	VIT_06s0004g02340
Vitvi06g01739	F6GUU1	VIT_06s0004g06130
Vitvi06g01743	F6GUS8	VIT_06s0004g06390
Vitvi06g01746	D7SJZ3	VIT_06s0004g06460
Vitvi06g01748	D7SJY5	VIT_06s0004g06530
Vitvi06g01749	D7SY19	VIT_08s0105g00420
Vitvi06g01751	D7SJW3	VIT_06s0004g06760
Vitvi06g01752	D7SJW2	VIT_06s0004g06770
Vitvi06g01753	F6H6W1	VIT_05s0077g01970
Vitvi06g01754	F6GUM5	VIT_06s0004g06990
Vitvi06g01759	D7SJS7	VIT_06s0004g07110
Vitvi06g01761	D7SJS2	VIT_06s0004g07160
Vitvi06g01762	D7SJR4	VIT_06s0004g07230
Vitvi06g01763	D7SJR2	VIT_06s0004g07250
Vitvi06g01769	D7SJN5	VIT_06s0004g07560
Vitvi06g01772	F6GUG8	VIT_06s0004g07630
Vitvi06g01773	D7SJM8	VIT_06s0004g07670
Vitvi06g01776	F6HC55	VIT_13s0067g02390
Vitvi06g01777	D7SJL0	VIT_06s0004g07850
Vitvi06g01781	F6GUB0	VIT_06s0004g08140
Vitvi06g01782	F6GU78	VIT_06s0004g08180
Vitvi06g01818	D7T1M2	VIT_06s0009g00970
Vitvi06g01819		
Vitvi06g01821	D7T1L1	VIT_06s0009g01090
Vitvi06g01827	F6HA35	VIT_06s0009g01340
Vitvi06g01830	F6HA29	VIT_06s0009g01420
Vitvi06g01835	A5BFG3	VIT_06s0009g01540
Vitvi06g01839	F6H9Y8	VIT_06s0009g01770
Vitvi06g01842		
Vitvi06g01844	D7T1F2	VIT_06s0009g01920
Vitvi06g01846	D7T1E7	VIT_06s0009g01980
Vitvi06g01847	F6HAG6	VIT_06s0009g02020
Vitvi06g01850	F6HAG2	VIT_06s0009g02060
Vitvi06g01852	F6HAF9	VIT_06s0009g02140
Vitvi06g01856	F6H543	VIT_12s0028g01520
Vitvi06g01858	D7T1C2	VIT_06s0009g02370
Vitvi06g01868	D7T1A8	VIT_06s0009g02540
Vitvi06g01871		
Vitvi06g01873	F6HQE2	VIT_03s0063g00880
Vitvi06g01877	D7T194	VIT_06s0009g02720
Vitvi06g01878	D7T193	VIT_06s0009g02730
Vitvi06g01881	F6HA93	VIT_06s0009g02800
Vitvi06g01887	F6HA88	VIT_06s0009g02850
Vitvi06g01890	A5AUR0	VIT_06s0009g02820
Vitvi06g01907	F6HA20	VIT_06s0009g03540
Vitvi06g01909	D7T147	VIT_06s0009g03590
Vitvi06g01910	D7SMM1	VIT_14s0083g00870
Vitvi06g01911	D7T146	VIT_06s0009g03600
Vitvi06g01917	A7PQW3	VIT_06s0061g00120
Vitvi06g01924	F6GW94	VIT_06s0061g00520
Vitvi06g01927	F6GW91	VIT_06s0061g00600
Vitvi06g01928	F6GW90	VIT_06s0061g00620
Vitvi06g01929	F6GW90	VIT_06s0061g00620
Vitvi06g01930	F6GW90	VIT_06s0061g00620
Vitvi06g01933	F6GW78	VIT_06s0061g00830
Vitvi06g01934	D7SN93	VIT_06s0061g00840
Vitvi06g01935	F6GW70	VIT_06s0061g00970
Vitvi06g01937	F6GW68	VIT_06s0061g01010
Vitvi06g01939	F6HHC1	VIT_06s0080g01090
Vitvi06g01940	D7SN71	VIT_06s0061g01100
Vitvi06g01942	F6GW62	VIT_06s0061g01140
Vitvi06g01944	D7SN63	VIT_06s0061g01200
Vitvi06g01945	D7SN54	VIT_06s0061g01290
Vitvi06g01946	A5BWG3	VIT_06s0061g01300
Vitvi06g01948	F6GW47	VIT_06s0061g01350
Vitvi06g01949	D7SN38	VIT_06s0061g01480
Vitvi06g01950	F6GW39	VIT_06s0061g01490
Vitvi06g01952	D7TJ30	VIT_08s0007g03800
Vitvi06g01953	F6HHH5	VIT_06s0080g00060
Vitvi06g01954	F6HHH4	VIT_06s0080g00070
Vitvi06g01959	F6HHG2	VIT_06s0080g00400
Vitvi06g01961	F6HHF9	VIT_06s0080g00450
Vitvi06g01962	F6HHF6	VIT_06s0080g00540
Vitvi06g01963	F6HHF2	VIT_06s0080g00600
Vitvi06g01965	F6HHF0	VIT_06s0080g00630
Vitvi06g01966	D7TCT1	VIT_06s0080g00640
Vitvi06g01968	D7TCS8	VIT_06s0080g00680
Vitvi06g01974	D7TCR3	VIT_06s0080g00870
Vitvi06g01982	D7TCN5	VIT_06s0080g01270
Vitvi06g04005		
Vitvi06g04006		
Vitvi06g04007	D7SLM7	VIT_06s0004g00260
Vitvi06g04008	D7SLM6	VIT_06s0004g00270
Vitvi06g04011	D7SLM1	VIT_06s0004g00330
Vitvi06g04012	D7SLM1	VIT_06s0004g00330
Vitvi06g04013		
Vitvi06g04014		
Vitvi06g04015	F6GUN4	VIT_06s0004g00440
Vitvi06g04016	F6HL08	VIT_08s0007g08230
Vitvi06g04017	F6GUK7	VIT_06s0004g00610
Vitvi06g04019	F6GUK6	VIT_06s0004g00620
Vitvi06g04020	F6GUK6	VIT_06s0004g00620
Vitvi06g04021	F6H2U0	VIT_04s0008g02170
Vitvi06g04022	F6GUK6	VIT_06s0004g00620
Vitvi06g04023		
Vitvi06g04024	F6HPR8	VIT_13s0156g00030
Vitvi06g04025	D7SLL7	VIT_06s0004g00370
Vitvi06g04027	F6HJ82	VIT_01s0150g00380
Vitvi06g04028	F6GUJ3	VIT_06s0004g00890
Vitvi06g04029	F6GUJ0	VIT_06s0004g00980
Vitvi06g04030	F6GUI8	VIT_06s0004g01010
Vitvi06g04031	F6GUF9	VIT_06s0004g01060
Vitvi06g04032		
Vitvi06g04033		
Vitvi06g04037	D7SLC2	VIT_06s0004g01340
Vitvi06g04038		
Vitvi06g04039		
Vitvi06g04040	F6GUD4	VIT_06s0004g01410
Vitvi06g04042		
Vitvi06g04043		
Vitvi06g04044	F6HYH6	VIT_04s0159g00020
Vitvi06g04047		
Vitvi06g04048	F6I5C2	VIT_15s0024g01540
Vitvi06g04049	F6HZ11	VIT_14s0128g00790
Vitvi06g04051	D7SL98	VIT_06s0004g01620
Vitvi06g04052	A5AEY1	VIT_04s0044g00560
Vitvi06g04053	A5AEY1	VIT_04s0044g00560
Vitvi06g04054	F6H333	VIT_04s0008g06530
Vitvi06g04056	F6HL55	VIT_08s0007g07980
Vitvi06g04057	F6HL53	VIT_08s0007g08000
Vitvi06g04058	F6HL54	VIT_08s0007g07990
Vitvi06g04060	F6GU82	VIT_06s0004g01850
Vitvi06g04061	F6H4G4	VIT_07s0031g02800
Vitvi06g04062	D7SL69	VIT_06s0004g01930
Vitvi06g04066	F6GU51	VIT_06s0004g01990
Vitvi06g04067		
Vitvi06g04068	D7SLK0	VIT_06s0004g00540
Vitvi06g04069	D7SL48	VIT_06s0004g02130
Vitvi06g04070	D7SRA1	VIT_18s0072g00940
Vitvi06g04071	D7SL37	VIT_06s0004g02260
Vitvi06g04073	F6GU38	VIT_06s0004g02310
Vitvi06g04080	F6GU37	VIT_06s0004g02340
Vitvi06g04081		
Vitvi06g04082	F6GU22	VIT_06s0004g02560
Vitvi06g04083	F6GU22	VIT_06s0004g02560
Vitvi06g04084	F6GU23	VIT_06s0004g02550
Vitvi06g04085		
Vitvi06g04089		
Vitvi06g04090	F6GU20	VIT_06s0004g02600
Vitvi06g04091	A5BPT8	VIT_06s0004g02620
Vitvi06g04092		
Vitvi06g04093	D7SL04	VIT_06s0004g02650
Vitvi06g04094		
Vitvi06g04095	D7SKZ6	VIT_06s0004g02730
Vitvi06g04097		
Vitvi06g04098	F6HYX6	VIT_14s0128g00040
Vitvi06g04099		
Vitvi06g04100		
Vitvi06g04101		
Vitvi06g04103		
Vitvi06g04105		
Vitvi06g04107	F6GTY8	VIT_06s0004g03220
Vitvi06g04109	F6GTY8	VIT_06s0004g03220
Vitvi06g04110		
Vitvi06g04111		
Vitvi06g04112	F6HQZ2	VIT_08s0040g02420
Vitvi06g04113		
Vitvi06g04115		
Vitvi06g04116	F6HNK9	VIT_13s0019g03530
Vitvi06g04118		
Vitvi06g04119		
Vitvi06g04120		
Vitvi06g04121		
Vitvi06g04122		
Vitvi06g04123		
Vitvi06g04124		
Vitvi06g04125		
Vitvi06g04126	A5B4J3	VIT_06s0004g03890
Vitvi06g04128	D7SKN3	VIT_06s0004g03930
Vitvi06g04129	D7SKN3	VIT_06s0004g03930
Vitvi06g04130		
Vitvi06g04131	D7SKN0	VIT_06s0004g03960
Vitvi06g04132	D7SKN0	VIT_06s0004g03960
Vitvi06g04133	D7SKN0	VIT_06s0004g03960
Vitvi06g04134		
Vitvi06g04138		
Vitvi06g04139		
Vitvi06g04141		
Vitvi06g04143	D7SKK9	VIT_06s0004g04160
Vitvi06g04144		
Vitvi06g04147	D7SKJ6	VIT_06s0004g04320
Vitvi06g04150		
Vitvi06g04151	A5B4J3	VIT_06s0004g03890
Vitvi06g04152		
Vitvi06g04153		
Vitvi06g04155	D7UCV2	VIT_15s0046g00270
Vitvi06g04156	F6GXU9	VIT_08s0058g00230
Vitvi06g04157		
Vitvi06g04159		
Vitvi06g04163		
Vitvi06g04164		
Vitvi06g04165	F6GUZ9	VIT_06s0004g04980
Vitvi06g04166	F6HNW1	VIT_13s0019g01890
Vitvi06g04167		
Vitvi06g04168	F6HG24	VIT_01s0010g01990
Vitvi06g04169	D7SKB0	VIT_06s0004g05200
Vitvi06g04170	D7SK92	VIT_06s0004g05370
Vitvi06g04171	D7SK90	VIT_06s0004g05380
Vitvi06g04172	D7SK90	VIT_06s0004g05380
Vitvi06g04173	D7SK85	VIT_06s0004g05430
Vitvi06g04177	F6HL75	VIT_08s0007g00950
Vitvi06g04178		
Vitvi06g04179		
