PN40024_genotype_ENSMBL_ID	UniProt	GCA_030704535.1_NCBI_ID	Chromosome	Start	End	Transcription_pattern	Athaliana_TAIR10_homolog	homology	TAIR10	Athal.common.NAme	locus_tag
Vitvi01g04468			1	23296029	23298176	EEE EDE EDE	a match not found in blastP with e-value<0.000001				
Vitvi01g04469			1	23355688	23359865	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04470			1	23406121	23406483	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04474			1	23571421	23571982	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04475	F6HJ66	VIT_01s0150g00080	1	23687564	23688059	EEE EEE EEE	NP_200248.1 Late embryogenesis abundant (LEA) protein-like protein [Arabidopsis thaliana]	69.811	NP_200248.1		AT5G54370
Vitvi01g04476			1	23699487	23705593	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04477			1	23736850	23743539	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04478			1	23861153	23861338	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04479			1	23882757	23883416	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi01g04480	F6HJ80	VIT_01s0150g00360	1	23936858	23940878	EEE EEE EEE	NP_199498.2 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]	26.18	NP_199498.2		AT5G46870
Vitvi01g04482			1	24032181	24032945	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi02g00001	D7TV35	VIT_02s0025g00030	2	10230	24093	EEE EEE EEE	NP_568590.1 RING/U-box superfamily protein [Arabidopsis thaliana]	51.852	NP_568590.1		AT5G41350
Vitvi02g00002	F6HUL4	VIT_02s0025g00040	2	26034	36652	EEE EEE EEE	NP_192879.1 ARID/BRIGHT DNA-binding, ELM2 domain and myb-like DNA-binding domain-containing protein [Arabidopsis thaliana]	39.243	NP_192879.1		AT4G11400
Vitvi02g00006	F6HUL7	VIT_02s0025g00080	2	56528	58540	EEE EEE EEE	NP_001077561.1 histone deacetylase complex subunit [Arabidopsis thaliana]	51.852	NP_001077561.1		AT1G19330
Vitvi02g00007	F6HUL8	VIT_02s0025g00090	2	61977	66546	EEE EEE EEE	NP_974690.4 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]	65.049	NP_974690.4		AT4G35785
Vitvi02g00008	D7TV41	VIT_02s0025g00100	2	66656	76022	EEE EEE EEE	NP_194077.1 Adaptin family protein [Arabidopsis thaliana]	85.509	NP_194077.1		AT4G23460
Vitvi02g00009	F6HUL9	VIT_02s0025g00110	2	76921	86615	EEE EEE EEE	NP_568592.1 DNA repair helicase XPB1-like protein [Arabidopsis thaliana]	86.883	NP_568592.1	XPB1	AT5G41370
Vitvi02g00011	F6HUM0	VIT_02s0025g00120	2	91482	93042	EEE EEE EEE	NP_198954.2 CCT motif family protein [Arabidopsis thaliana]	47.881	NP_198954.2		AT5G41380
Vitvi02g00013	F6HUM1	VIT_02s0025g00140	2	103471	103977	EEE EEE EEE	NP_191705.1 brassinosteroid-responsive RING-H2 [Arabidopsis thaliana]	68.902	NP_191705.1	BRH1	AT3G61460
Vitvi02g00014	F6HUM2	VIT_02s0025g00150	2	116015	119260	EDE EDE EDE	NP_176570.1 BTB/POZ domain-containing protein [Arabidopsis thaliana]	70.255	NP_176570.1		AT1G63850
Vitvi02g00015	F6HUM4	VIT_02s0025g00180	2	129318	133240	EEE EEE EEE	NP_187168.1 Phosphoglycerate mutase family protein [Arabidopsis thaliana]	56.618	NP_187168.1		AT3G05170
Vitvi02g00016	F6HUM6	VIT_02s0025g00200	2	142751	146753	EEE EEE EEE	NP_198957.1 POX (plant homeobox) family protein [Arabidopsis thaliana]	48.316	NP_198957.1	BEL1	AT5G41410
Vitvi02g00017	F6HUM7	VIT_02s0025g00210	2	155375	158477	EEE EEE EDE	NP_567683.1 fringe-like protein (DUF604) [Arabidopsis thaliana]	68.539	NP_567683.1		AT4G23490
Vitvi02g00018	D7TV50	VIT_02s0025g00220	2	161784	166169	EEE EEE EEE	NP_001185013.1 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]	32.471	NP_001185013.1		AT1G16480
Vitvi02g00020	D7TV52	VIT_02s0025g00240	2	172423	174235	EDE EEE EEE	NP_194300.1 beta-hydroxylase 1 [Arabidopsis thaliana]	75.0	NP_194300.1	BETA-OHASENA1	AT4G25700
Vitvi02g00021	D7TV53	VIT_02s0025g00250	2	183650	184317	EEE EEE EEE	NP_974110.1 SPIRAL1-like2 [Arabidopsis thaliana]	51.351	NP_974110.1	SP1L2	AT1G69230
Vitvi02g00022	F6HUM8	VIT_02s0025g00260	2	190174	192424	EEE EEE EDE	NP_001327412.1 Pectin lyase-like superfamily protein [Arabidopsis thaliana]	69.647	NP_001327412.1		AT3G61490
Vitvi02g00023	D7TV55	VIT_02s0025g00270	2	192424	199250	EEE EEE EEE	NP_192046.1 MAP kiNAse 4 [Arabidopsis thaliana]	85.215	NP_192046.1	MPK4	AT4G01370
Vitvi02g00025	F6HUM9	VIT_02s0025g00280	2	224860	228258	EEE EEE EEE	NP_200076.2 heat shock-like protein [Arabidopsis thaliana]	89.571	NP_200076.2	HSP90.1	AT5G52640
Vitvi02g00028	D7TV59	VIT_02s0025g00320	2	246104	247947	EEE EEE EEE	NP_176575.1 myb domain protein 103 [Arabidopsis thaliana]	50.552	NP_176575.1	AtMYB103	AT1G63910
Vitvi02g00029	D7TV60	VIT_02s0025g00330	2	259243	261088	EEE EEE EEE	NP_176576.1 from the Czech 'roh' meaning 'corner' [Arabidopsis thaliana]	58.313	NP_176576.1	ROH1	AT1G63930
Vitvi02g00030	D7TV61	VIT_02s0025g00340	2	262329	269804	EEE EEE EEE	NP_849839.1 monodehydroascorbate reductase 6 [Arabidopsis thaliana]	77.621	NP_849839.1	MDAR6	AT1G63940
Vitvi02g00031	D7TV62	VIT_02s0025g00350	2	272047	273344	EEE EEE EEE	NP_171656.1 Heavy metal transport/detoxification superfamily protein [Arabidopsis thaliana]	49.153	NP_171656.1		AT1G01490
Vitvi02g00032	D7TV63	VIT_02s0025g00360	2	284917	287531	UEE EEE DDE	NP_191710.1 ACC synthase 1 [Arabidopsis thaliana]	63.636	NP_191710.1	ACS1	AT3G61510
Vitvi02g00034	F6HUN3	VIT_02s0025g00380	2	291751	299682	EEE EEE EEE	NP_850971.1 isoprenoid F [Arabidopsis thaliana]	91.209	NP_850971.1	ISPF	AT1G63970
Vitvi02g00035	D7TV65	VIT_02s0025g00390	2	301275	305716	EEE EEE EEE	NP_001330332.1 DET1 complexing ubiquitin ligase [Arabidopsis thaliana]	69.697	NP_001330332.1		AT5G41560
Vitvi02g00037	D7TV66	VIT_02s0025g00400	2	307676	316951	EEE EEE EEE	NP_001031225.1 D111/G-patch domain-containing protein [Arabidopsis thaliana]	53.563	NP_001031225.1		AT1G63980
Vitvi02g00038	D7TV67	VIT_02s0025g00410	2	317331	321272	EEE EEE EEE	NP_176582.2 sporulation 11-2 [Arabidopsis thaliana]	76.0	NP_176582.2	SPO11-2	AT1G63990
Vitvi02g00039	F6HUN4	VIT_02s0025g00420	2	324553	325750	EEE EEE EEE	NP_192034.1 WRKY family transcription factor [Arabidopsis thaliana]	40.483	NP_192034.1	WRKY22	AT4G01250
Vitvi02g00040	D7TV69	VIT_02s0025g00430	2	328319	331701	EEE EEE EEE	NP_194087.1 glycosyl hydrolase 9B15 [Arabidopsis thaliana]	70.981	NP_194087.1	GH9B15	AT4G23560
Vitvi02g00041	F6HUN5	VIT_02s0025g00440	2	333166	346105	EEE EEE EEE	NP_192866.1 Transducin/WD40 repeat-like superfamily protein [Arabidopsis thaliana]	53.39	NP_192866.1		AT4G11270
Vitvi02g00043	F6HUN6	VIT_02s0025g00470	2	369394	383351	EEE EEE EEE	NP_198973.3 RING/U-box superfamily protein [Arabidopsis thaliana]	51.441	NP_198973.3		AT5G41580
Vitvi02g00044	D7TV73	VIT_02s0025g00480	2	383356	391241	EEE EEE EEE	NP_176587.1 type one serine/threonine protein phosphatase 3 [Arabidopsis thaliana]	84.375	NP_176587.1	TOPP3	AT1G64040
Vitvi02g00045	D7TV74	VIT_02s0025g00490	2	397215	408043	EEE EEE EEE	NP_176588.1 hypothetical protein AT1G64050 [Arabidopsis thaliana]	39.966	NP_176588.1		AT1G64050
Vitvi02g00046	D7TV75	VIT_02s0025g00500	2	408848	410447	EEE EEE EEE	NP_198974.1 LURP-one-like protein (DUF567) [Arabidopsis thaliana]	52.018	NP_198974.1		AT5G41590
Vitvi02g00048	F6HUN7	VIT_02s0025g00510	2	434346	444203	EEE EEE EEE	NP_564821.1 respiratory burst oxidase protein F [Arabidopsis thaliana]	77.847	NP_564821.1	RBOHNAF	AT1G64060
Vitvi02g00051	F6HUP0	VIT_02s0025g00550	2	472317	473925	EDE EEE EEE	NP_176591.1 membrane-associated kiNAse regulator [Arabidopsis thaliana]	45.975	NP_176591.1	MAKR2	AT1G64080
Vitvi02g00052	D7TV79	VIT_02s0025g00560	2	474602	478678	EEE EEE EEE	NP_172772.2 Cellulase (glycosyl hydrolase family 5) protein [Arabidopsis thaliana]	43.702	NP_172772.2		AT1G13130
Vitvi02g00054	F6HUP2	VIT_02s0025g00580	2	482901	485095	EEE EEE EEE	NP_189245.1 Cellulase (glycosyl hydrolase family 5) protein [Arabidopsis thaliana]	41.52	NP_189245.1		AT3G26140
Vitvi02g00055	D7TV82	VIT_02s0025g00600	2	490665	492421	EEE EEE EEE	NP_172772.2 Cellulase (glycosyl hydrolase family 5) protein [Arabidopsis thaliana]	42.829	NP_172772.2		AT1G13130
Vitvi02g00056	F6HUP3	VIT_02s0025g00610	2	493859	495620	UEE EEE UUE	NP_172772.2 Cellulase (glycosyl hydrolase family 5) protein [Arabidopsis thaliana]	41.847	NP_172772.2		AT1G13130
Vitvi02g00059	D7TV84	VIT_02s0025g00640	2	503967	521173	EEE EEE EEE	NP_176592.1 Reticulan like protein B3 [Arabidopsis thaliana]	71.008	NP_176592.1	RTNLB3	AT1G64090
Vitvi02g00060	D7TV86	VIT_02s0025g00650	2	522188	531930	EEE EEE EEE	NP_849842.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	73.647	NP_849842.1	DAA1	AT1G64110
Vitvi02g00062	D7TV88	VIT_02s0025g00670	2	534766	539494	EEE EEE EEE	NP_568928.1 CAAX amino termiNAl protease family protein [Arabidopsis thaliana]	66.082	NP_568928.1		AT5G60750
Vitvi02g00063	D7TV89	VIT_02s0025g00680	2	540049	545046	EEE EEE EEE	NP_194095.2 Potassium transporter family protein [Arabidopsis thaliana]	61.175	NP_194095.2	TRH1	AT4G23640
Vitvi02g00065	F6HUP4	VIT_02s0025g00690	2	546728	556046	EEE EEE EEE	NP_194096.1 calcium-dependent protein kiNAse 6 [Arabidopsis thaliana]	81.33	NP_194096.1	CDPK6	AT4G23650
Vitvi02g00066	D7TV91	VIT_02s0025g00700	2	565776	568696	EEE EEE EEE	NP_188473.1 aluminum-activated malate transporter 9 [Arabidopsis thaliana]	40.2	NP_188473.1	ALMT9	AT3G18440
Vitvi02g00067	F6HUP5	VIT_02s0025g00710	2	570801	572855	EEE EEE EEE	NP_176596.2 WRKY transcription factor [Arabidopsis thaliana]	63.49	NP_176596.2		AT1G64140
Vitvi02g00068	D7TV93	VIT_02s0025g00720	2	577876	585713	EEE EEE EEE	NP_564825.1 Uncharacterized protein family (UPF0016) [Arabidopsis thaliana]	77.734	NP_564825.1		AT1G64150
Vitvi02g00069	F6HUP6	VIT_02s0025g00730	2	587700	588278	EEE EDE EEE	NP_194100.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]	56.522	NP_194100.1	DIR6	AT4G23690
Vitvi02g00070	F6HUP7	VIT_02s0025g00740	2	590286	590846	EEE EDE EDE	NP_194100.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]	56.707	NP_194100.1	DIR6	AT4G23690
Vitvi02g00071	F6HUQ0	VIT_02s0025g00780	2	611292	614821	EEE EEE EEE	NP_198976.3 cation/H+ exchanger 18 [Arabidopsis thaliana]	70.654	NP_198976.3	CHX18	AT5G41610
Vitvi02g00073	F6HUQ2	VIT_02s0025g00820	2	627310	631673	EEE EEE EEE	NP_198976.3 cation/H+ exchanger 18 [Arabidopsis thaliana]	66.539	NP_198976.3	CHX18	AT5G41610
Vitvi02g00075	D7TVA2	VIT_02s0025g00830	2	649050	650270	EEE EEE EEE	NP_191718.1 Galactose oxidase/kelch repeat superfamily protein [Arabidopsis thaliana]	61.538	NP_191718.1	HWS	AT3G61590
Vitvi02g00076	F6HUQ4	VIT_02s0025g00850	2	659603	661404	EEE EEE EEE	NP_198980.1 Lactoylglutathione lyase / glyoxalase I family protein [Arabidopsis thaliana]	82.456	NP_198980.1		AT5G41650
Vitvi02g00077	F6HUQ5	VIT_02s0025g00860	2	661463	663470	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi02g00078	F6HUQ6	VIT_02s0025g00880	2	676319	680248	EEE EEE EEE	NP_850733.1 POZ/BTB containin G-protein 1 [Arabidopsis thaliana]	75.887	NP_850733.1	POB1	AT3G61600
Vitvi02g00079	F6HUQ7	VIT_02s0025g00890	2	681109	682244	EEE EEE EEE	NP_194103.2 transmembrane protein, putative (DUF1191) [Arabidopsis thaliana]	41.971	NP_194103.2		AT4G23720
Vitvi02g00080	F6HUQ8	VIT_02s0025g00900	2	683985	685469	EEE EEE EEE	NP_851113.1 6-phosphoglucoNAte dehydrogeNAse family protein [Arabidopsis thaliana]	88.272	NP_851113.1		AT5G41670
Vitvi02g00081	F6HUQ9	VIT_02s0025g00910	2	686944	694167	EEE EEE EEE	NP_191473.2 multidrug resistance-associated protein 14 [Arabidopsis thaliana]	57.906	NP_191473.2	ABCC10	AT3G59140
Vitvi02g00082	F6HUR1	VIT_02s0025g00950	2	711978	720966	EEE EEE EEE	NP_191473.2 multidrug resistance-associated protein 14 [Arabidopsis thaliana]	58.502	NP_191473.2	ABCC10	AT3G59140
Vitvi02g00083	F6HUR2	VIT_02s0025g00970	2	728713	736140	EEE EEE EEE	NP_191473.2 multidrug resistance-associated protein 14 [Arabidopsis thaliana]	57.976	NP_191473.2	ABCC10	AT3G59140
Vitvi02g00085	F6HUR2	VIT_02s0025g00970	2	744953	753604	EEE EEE EEE	NP_191473.2 multidrug resistance-associated protein 14 [Arabidopsis thaliana]	58.468	NP_191473.2	ABCC10	AT3G59140
Vitvi02g00086	F6HUR4	VIT_02s0025g00990	2	765012	773629	EED EDE DDD	NP_191473.2 multidrug resistance-associated protein 14 [Arabidopsis thaliana]	57.641	NP_191473.2	ABCC10	AT3G59140
Vitvi02g00087	D7TVB7	VIT_02s0025g01000	2	782194	786134	EEE EEE EEE	NP_192853.1 vacuolar ATP synthase subunit E1 [Arabidopsis thaliana]	76.957	NP_192853.1	TUF	AT4G11150
Vitvi02g00088	D7TVB8	VIT_02s0025g01010	2	790448	799011	EEE EEE EEE	NP_568791.1 Galactosyltransferase family protein [Arabidopsis thaliana]	69.159	NP_568791.1		AT5G53340
Vitvi02g00089	D7TVB9	VIT_02s0025g01020	2	802876	808045	EEE EEE EEE	NP_182150.1 G-box binding factor 3 [Arabidopsis thaliana]	35.748	NP_182150.1	GBF3	AT2G46270
Vitvi02g00090	D7TVC0	VIT_02s0025g01030	2	811793	815196	EEE EEE EEE	NP_194104.1 Galactose mutarotase-like superfamily protein [Arabidopsis thaliana]	68.954	NP_194104.1		AT4G23730
Vitvi02g00091	F6HUR5	VIT_02s0025g01040	2	821789	826913	EDE EEE EDE	NP_194105.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]	65.574	NP_194105.1		AT4G23740
Vitvi02g00093	A5B445	VIT_16s0050g02400	2	854092	856000	EEE EEE DDE	NP_974599.1 cytokinin response factor 2 [Arabidopsis thaliana]	43.662	NP_974599.1	CRF2	AT4G23750
Vitvi02g00095	D7TVC4	VIT_02s0025g01070	2	862480	864682	EEE EEE EEE	NP_194107.2 Cox19-like CHCH family protein [Arabidopsis thaliana]	66.071	NP_194107.2		AT4G23760
Vitvi02g00096	F6HUR6	VIT_02s0025g01090	2	871139	871414	EEE EEE EEE	NP_001119353.1 hypothetical protein AT5G41761 [Arabidopsis thaliana]	65.574	NP_001119353.1		AT5G41761
Vitvi02g00097	F6HUR7	VIT_02s0025g01100	2	876331	878425	EEE EEE EEE	NP_564829.1 Protein kiNAse family protein [Arabidopsis thaliana]	59.334	NP_564829.1		AT1G64300
Vitvi02g00098	F6I6A3	VIT_15s0046g01310	2	878616	904405	EEE EEE EEE	NP_192849.4 SPA1-related 2 [Arabidopsis thaliana]	49.468	NP_192849.4	SPA2	AT4G11110
Vitvi02g00099	F6HUS0	VIT_02s0025g01150	2	910906	914220	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi02g00100	A5BWC0	VIT_02s0025g01160	2	917228	924922	EEE EEE EEE	NP_198992.2 crooked neck protein, putative / cell cycle protein [Arabidopsis thaliana]	82.479	NP_198992.2		AT5G41770
Vitvi02g00101	F6HUS2	VIT_02s0025g01170	2	940737	949497	EEE EEE EEE	NP_198994.2 COP1-interactive protein 1 [Arabidopsis thaliana]	30.369	NP_198994.2	CIP1	AT5G41790
Vitvi02g00103	D7TVD2	VIT_02s0025g01180	2	949502	956687	EEE EEE EEE	NP_192019.1 adenine nucleotide transporter 1 [Arabidopsis thaliana]	83.944	NP_192019.1	ADNT1	AT4G01100
Vitvi02g00105	F6HUS3	VIT_02s0025g01190	2	969121	974117	EEE EEE EEE	NP_191726.1 extra-large G-like protein, putative (DUF3133) [Arabidopsis thaliana]	40.909	NP_191726.1		AT3G61670
Vitvi02g00106	D7TVD4	VIT_02s0025g01200	2	976916	981049	EEE EEE EEE	NP_192847.1 TRICHOME BIREFRINGENCE-LIKE 23 [Arabidopsis thaliana]	56.279	NP_192847.1	TBL23	AT4G11090
Vitvi02g00108	F6HUS4	VIT_02s0025g01220	2	996517	999424	EEE EDE EDE	NP_001190816.1 HMG (high mobility group) box protein [Arabidopsis thaliana]	59.109	NP_001190816.1	3xHMG-box2	AT4G23800
Vitvi02g00109	D7TVD7	VIT_02s0025g01230	2	1006087	1011107	EEE EEE EEE	NP_568597.1 Transmembrane amino acid transporter family protein [Arabidopsis thaliana]	80.752	NP_568597.1		AT5G41800
Vitvi02g00110	D7TVD8	VIT_02s0025g01240	2	1019901	1022193	EEE EEE EEE	NP_192016.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]	59.362	NP_192016.1	GT72B1	AT4G01070
Vitvi02g00111	D7TVD9	VIT_02s0025g01250	2	1024013	1030900	EEE EEE EEE	NP_564830.1 Transducin/WD40 repeat-like superfamily protein [Arabidopsis thaliana]	69.136	NP_564830.1	SEH1H	AT1G64350
Vitvi02g00112	F6HU18	VIT_02s0025g01260	2	1033912	1036128	EEE EEE EEE	NP_176365.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]	33.939	NP_176365.1	BAN	AT1G61720
Vitvi02g00113	F6HU19	VIT_02s0025g01270	2	1037588	1040539	EEE EEE EEE	NP_564831.2 1-acyl-sn-glycerol-3-phosphate acyltransferase [Arabidopsis thaliana]	70.886	NP_564831.2		AT1G64355
Vitvi02g00114	D7TVE1	VIT_02s0025g01280	2	1040547	1042067	EEE EEE EDE	NP_192845.1 WRKY family transcription factor [Arabidopsis thaliana]	41.176	NP_192845.1	WRKY41	AT4G11070
Vitvi02g00115	D7TVE2	VIT_02s0025g01290	2	1043052	1048166	EEE EEE EEE	NP_199000.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]	63.596	NP_199000.1		AT5G41850
Vitvi02g00116	A5AEG2	VIT_02s0025g01300	2	1051997	1052735	EDE EEE EDE	NP_565447.1 subtilisin-like serine protease 3 [Arabidopsis thaliana]	36.634	NP_565447.1	SLP3	AT2G19170
Vitvi02g00117	F6HU21	VIT_02s0025g01320	2	1061135	1062394	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi02g00118	D7TVE6	VIT_02s0025g01330	2	1065259	1070889	EEE EEE EDE	NP_194113.1 Pectin lyase-like superfamily protein [Arabidopsis thaliana]	74.664	NP_194113.1		AT4G23820
Vitvi02g00119	D7TVE7	VIT_02s0025g01340	2	1073025	1076093	EEE EEE EEE	NP_200128.1 regulatory components of ABA receptor 3 [Arabidopsis thaliana]	81.871	NP_200128.1	RCAR3	AT5G53160
Vitvi02g00120	D7TVE8	VIT_02s0025g01350	2	1079489	1085975	EEE EEE EEE	NP_199003.5 DNA primase POLA3 [Arabidopsis thaliana]	66.304	NP_199003.5	POLA3	AT5G41880
Vitvi02g00121	D7TVE9	VIT_02s0025g01360	2	1086569	1087525	EEE EEE EEE	NP_176620.1 Integrase-type DNA-binding superfamily protein [Arabidopsis thaliana]	45.152	NP_176620.1		AT1G64380
Vitvi02g00123	D7TVF0	VIT_02s0025g01370	2	1122265	1126577	EEE EEE EEE	NP_683468.1 transmembrane protein [Arabidopsis thaliana]	39.098	NP_683468.1		AT1G64385
Vitvi02g00125	A5BTQ3	VIT_02s0025g01380	2	1143567	1148246	EDE EEE EEE	NP_176621.1 glycosyl hydrolase 9C2 [Arabidopsis thaliana]	76.809	NP_176621.1	GH9C2	AT1G64390
Vitvi02g00126	D7TVF2	VIT_02s0025g01390	2	1148934	1150509	EEE EEE EEE	NP_180499.1 highly ABA-induced PP2C protein 3 [Arabidopsis thaliana]	48.443	NP_180499.1	HAI3	AT2G29380
Vitvi02g00127	D7TVF3	VIT_02s0025g01400	2	1151744	1160909	EEE EEE EEE	NP_194115.3 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]	50.257	NP_194115.3		AT4G23840
Vitvi02g00128	D7TVF4	VIT_02s0025g01410	2	1162049	1171646	EEE EEE EEE	NP_194116.1 AMP-dependent synthetase and ligase family protein [Arabidopsis thaliana]	76.829	NP_194116.1	LACS4	AT4G23850
Vitvi02g00129	F6HU22	VIT_02s0025g01420	2	1182543	1190908	EEE EEE EEE	NP_201011.1 inner membrane OXA1-like protein [Arabidopsis thaliana]	48.578	NP_201011.1	OXA1	AT5G62050
Vitvi02g00130	D7TVF6	VIT_02s0025g01430	2	1191737	1195251	EEE EEE EEE	NP_200123.2 RING/U-box superfamily protein [Arabidopsis thaliana]	41.761	NP_200123.2		AT5G53110
Vitvi02g00131	D7TVF7	VIT_02s0025g01440	2	1202653	1209674	EEE EEE EEE	NP_974600.1 PHD finger protein-like protein [Arabidopsis thaliana]	53.761	NP_974600.1		AT4G23860
Vitvi02g00132	D7TVF9	VIT_02s0025g01460	2	1233180	1235318	EEE EEE EEE	NP_568440.1 hypothetical protein AT5G24165 [Arabidopsis thaliana]	56.41	NP_568440.1		AT5G24165
Vitvi02g00133	F6HU24	VIT_02s0025g01470	2	1235818	1236752	EEE EEE EEE	NP_194120.1 NAD(P)H-quinone oxidoreductase subunit S [Arabidopsis thaliana]	46.748	NP_194120.1	NdhS	AT4G23890
Vitvi02g00135	D7TVG1	VIT_02s0025g01480	2	1240229	1248420	EEE EEE EEE	NP_200156.1 LOW protein: zinc finger CCCH domain protein [Arabidopsis thaliana]	33.033	NP_200156.1		AT5G53440
Vitvi02g00136	D7TVG2	VIT_02s0025g01490	2	1258988	1263575	EEE EEE EED	NP_196197.1 RP non-ATPase subunit 8A [Arabidopsis thaliana]	88.312	NP_196197.1	RPN8A	AT5G05780
Vitvi02g00137	A5BVN4	VIT_02s0025g01500	2	1266195	1270294	EEE EEE EEE	NP_567690.1 Nucleoside diphosphate kiNAse family protein [Arabidopsis thaliana]	77.215	NP_567690.1		AT4G23900
Vitvi02g00138	F6HU25	VIT_02s0025g01510	2	1272511	1275922	EEE EEE EEE	NP_974533.1 ribosome maturation factor [Arabidopsis thaliana]	44.928	NP_974533.1		AT4G10970
Vitvi02g00139	D7TVG5	VIT_02s0025g01520	2	1275953	1284140	EEE EEE EEE	NP_176624.2 Pentatricopeptide repeat (PPR) superfamily protein [Arabidopsis thaliana]	67.336	NP_176624.2		AT1G64430
Vitvi02g00141	D7TVF2	VIT_02s0025g01390	2	1294847	1304277	EEE EEE EEE	NP_180499.1 highly ABA-induced PP2C protein 3 [Arabidopsis thaliana]	48.276	NP_180499.1	HAI3	AT2G29380
Vitvi02g00143	D7TVG8	VIT_02s0025g01560	2	1313315	1318517	EEE EEE EEE	NP_192834.1 UDP-D-glucose/UDP-D-galactose 4-epimerase 5 [Arabidopsis thaliana]	81.977	NP_192834.1	UGE5	AT4G10960
Vitvi02g00144	D7TVG9	VIT_02s0025g01570	2	1321436	1331040	EEE EEE EEE	NP_851120.1 dyNAmin-like protein [Arabidopsis thaliana]	86.557	NP_851120.1	DL1	AT5G42080
Vitvi02g00145	A5BGY1	VIT_02s0025g01580	2	1334160	1339888	EEE EEE EEE	NP_192834.1 UDP-D-glucose/UDP-D-galactose 4-epimerase 5 [Arabidopsis thaliana]	81.686	NP_192834.1	UGE5	AT4G10960
Vitvi02g00146	F6HU26	VIT_02s0025g01590	2	1344380	1348031	EEE EEE EEE	NP_001319899.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]	55.524	NP_001319899.1		AT4G10955
Vitvi02g00147	F6HU27	VIT_02s0025g01600	2	1351779	1352363	EEE EDE EDE	NP_194124.1 Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Arabidopsis thaliana]	51.366	NP_194124.1		AT4G23930
Vitvi02g00149	F6HU28	VIT_02s0025g01610	2	1372421	1375608	EEE EEE EEE	NP_973700.1 phosphoinositide 4-kiNAse gamma 4 [Arabidopsis thaliana]	59.829	NP_973700.1	PI4KNAGAMMANA4	AT2G46500
Vitvi02g00151	F6HU29	VIT_02s0025g01620	2	1386254	1388403	EEE EEE EEE	NP_001329284.1 SGNH hydrolase-type esterase superfamily protein [Arabidopsis thaliana]	69.529	NP_001329284.1		AT4G10950
Vitvi02g00152	D7TVH4	VIT_02s0025g01630	2	1388652	1391216	EEE EEE EEE	NP_197815.1 Calcium-binding EF-hand family protein [Arabidopsis thaliana]	56.481	NP_197815.1	SOS3	AT5G24270
Vitvi02g00153	F6HU30	VIT_02s0025g01650	2	1397714	1407013	EEE EEE EEE	NP_001319898.1 RING/U-box protein [Arabidopsis thaliana]	51.096	NP_001319898.1		AT4G10930
Vitvi02g00155	D7TVH7	VIT_02s0025g01660	2	1407330	1413062	EEE EEE EEE	NP_567118.1 Protein with RING/U-box and TRAF-like domain [Arabidopsis thaliana]	80.615	NP_567118.1		AT3G61790
Vitvi02g00156	F6HU31	VIT_02s0025g01670	2	1417092	1421752	EEE EEE EEE	NP_194126.5 Galactose-binding protein [Arabidopsis thaliana]	43.729	NP_194126.5		AT4G23950
Vitvi02g00157	D7TVH9	VIT_02s0025g01680	2	1423681	1427492	EEE EEE EEE	NP_849357.1 Nuclear transport factor 2 (NTF2) family protein [Arabidopsis thaliana]	70.13	NP_849357.1		AT4G10925
Vitvi02g00158	D7TVI0	VIT_02s0025g01690	2	1430306	1436033	EEE EEE EEE	NP_568601.1 hypothetical protein AT5G42070 [Arabidopsis thaliana]	82.353	NP_568601.1		AT5G42070
Vitvi02g00159	F6HU32	VIT_02s0025g01700	2	1436660	1439984	EEE EEE EEE	NP_192830.1 transcriptioNAl coactivator p15 (PC4) family protein (KELP) [Arabidopsis thaliana]	61.494	NP_192830.1	KELP	AT4G10920
Vitvi02g00160	F6HU33	VIT_02s0025g01710	2	1440938	1442340	EEE EEE EEE	NP_176631.1 Glutaredoxin family protein [Arabidopsis thaliana]	47.436	NP_176631.1		AT1G64500
