"cell","rank","gene_id","log2diff","direction","pct_of_total_AggrDiv","cum_pct","Athal.common.NAme","Athaliana_TAIR10_homolog","homology"
"Rpv12+1@24h (FDR=0.035)",8,"Vitvi18g02180",-9.116,"DOWN_in_genotype",0.21,2.17,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12+1@24h (FDR=0.035)",9,"Vitvi16g01546",-9.112,"DOWN_in_genotype",0.21,2.38,NA,"NP_195373.6 ARM repeat superfamily protein [Arabidopsis thaliana]",37.179
"Rpv12+1@24h (FDR=0.035)",10,"Vitvi17g01481",9.069,"UP_in_genotype",0.21,2.58,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@24h (FDR=0.035)",11,"Vitvi12g04563",-9.006,"DOWN_in_genotype",0.2,2.79,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@24h (FDR=0.035)",12,"Vitvi13g04325",-8.918,"DOWN_in_genotype",0.2,2.99,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@24h (FDR=0.035)",13,"Vitvi19g00283",8.906,"UP_in_genotype",0.2,3.19,NA,"NP_200248.1 Late embryogenesis abundant (LEA) protein-like protein [Arabidopsis thaliana]",61.834
"Rpv12+1@24h (FDR=0.035)",14,"Vitvi12g02066",-8.866,"DOWN_in_genotype",0.2,3.39,NA,"NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.821
"Rpv12+1@24h (FDR=0.035)",15,"Vitvi12g02318",8.813,"UP_in_genotype",0.2,3.58,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",39.967
"Rpv12+1@24h (FDR=0.035)",16,"Vitvi11g00460",-8.721,"DOWN_in_genotype",0.19,3.77,"AER","NP_197199.1 alkeNAl reductase [Arabidopsis thaliana]",49.856
"Rpv12+1@24h (FDR=0.035)",17,"Vitvi08g02397",-8.721,"DOWN_in_genotype",0.19,3.96,NA,"NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",33.089
"Rpv12+1@24h (FDR=0.035)",18,"Vitvi16g01733",8.637,"UP_in_genotype",0.19,4.15,"XIF","NP_001323601.1 myosin-like protein XIF [Arabidopsis thaliana]",71.282
"Rpv12+1@24h (FDR=0.035)",19,"Vitvi10g04213",8.632,"UP_in_genotype",0.19,4.34,"CRK29","NP_001329810.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana]",36.34
"Rpv12+1@24h (FDR=0.035)",20,"Vitvi05g01819",8.528,"UP_in_genotype",0.18,4.52,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@24h (FDR=0.035)",21,"Vitvi07g00890",-8.518,"DOWN_in_genotype",0.18,4.71,"RPM1","NP_187360.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",32.585
"Rpv12+1@24h (FDR=0.035)",22,"Vitvi08g02288",-8.434,"DOWN_in_genotype",0.18,4.88,NA,"NP_181216.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]",52.12
"Rpv12+1@24h (FDR=0.035)",23,"Vitvi00g04728",-8.421,"DOWN_in_genotype",0.18,5.06,"EMB3113","NP_180936.1 Ribosomal protein S5 family protein [Arabidopsis thaliana]",59.14
"Rpv12+1@24h (FDR=0.035)",24,"Vitvi07g02323",-8.299,"DOWN_in_genotype",0.17,5.24,"CPK13","NP_001326349.1 calcium-dependent protein kiNAse 13 [Arabidopsis thaliana]",78.947
"Rpv12+1@24h (FDR=0.035)",25,"Vitvi16g04012",8.251,"UP_in_genotype",0.17,5.41,"ATSYTF","NP_566607.1 C2 domain-containing protein [Arabidopsis thaliana]",42.324
"Rpv12+1+3@24h (FDR=0.024)",1,"Vitvi18g04752",-11.285,"DOWN_in_genotype",0.31,0.31,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
"Rpv12+1+3@24h (FDR=0.024)",2,"Vitvi08g01235",-10.952,"DOWN_in_genotype",0.29,0.6,"LBO1","NP_566685.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygeNAse superfamily protein [Arabidopsis thaliana]",40.116
"Rpv12+1+3@24h (FDR=0.024)",3,"Vitvi09g01214",10.816,"UP_in_genotype",0.29,0.89,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12+1+3@24h (FDR=0.024)",4,"Vitvi04g04010",-10.343,"DOWN_in_genotype",0.26,1.15,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",68.519
"Rpv12+1+3@24h (FDR=0.024)",5,"Vitvi12g04076",-10.319,"DOWN_in_genotype",0.26,1.41,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12+1+3@24h (FDR=0.024)",6,"Vitvi04g04009",-10.033,"DOWN_in_genotype",0.25,1.65,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",61.29
"Rpv12+1+3@24h (FDR=0.024)",7,"Vitvi12g04185",-10.006,"DOWN_in_genotype",0.24,1.9,NA,"NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana]",45.814
"Rpv12+1+3@24h (FDR=0.024)",8,"Vitvi04g04011",-9.994,"DOWN_in_genotype",0.24,2.14,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",63.429
"Rpv12+1+3@24h (FDR=0.024)",9,"Vitvi18g04003",-9.749,"DOWN_in_genotype",0.23,2.37,"WAKL4","NP_001319018.1 wall associated kiNAse-like 4 [Arabidopsis thaliana]",45.559
"Rpv12+1+3@24h (FDR=0.024)",10,"Vitvi19g00283",9.604,"UP_in_genotype",0.22,2.6,NA,"NP_200248.1 Late embryogenesis abundant (LEA) protein-like protein [Arabidopsis thaliana]",61.834
"Rpv12+1+3@24h (FDR=0.024)",11,"Vitvi12g04548",9.597,"UP_in_genotype",0.22,2.82,NA,"NP_174809.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",47.187
"Rpv12+1+3@24h (FDR=0.024)",12,"Vitvi18g02180",-9.414,"DOWN_in_genotype",0.22,3.04,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12+1+3@24h (FDR=0.024)",13,"Vitvi19g04110",9.15,"UP_in_genotype",0.2,3.24,NA,"NP_187555.1 Heat shock protein 70 (Hsp 70) family protein [Arabidopsis thaliana]",69.767
"Rpv12+1+3@24h (FDR=0.024)",14,"Vitvi12g04108",9.035,"UP_in_genotype",0.2,3.44,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@24h (FDR=0.024)",15,"Vitvi16g01546",-9.018,"DOWN_in_genotype",0.2,3.64,NA,"NP_195373.6 ARM repeat superfamily protein [Arabidopsis thaliana]",37.179
"Rpv12+1+3@24h (FDR=0.024)",16,"Vitvi17g01481",8.785,"UP_in_genotype",0.19,3.83,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@24h (FDR=0.024)",17,"Vitvi12g04630",-8.739,"DOWN_in_genotype",0.19,4.01,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",25.683
"Rpv12+1+3@24h (FDR=0.024)",18,"Vitvi07g02323",-8.694,"DOWN_in_genotype",0.18,4.2,"CPK13","NP_001326349.1 calcium-dependent protein kiNAse 13 [Arabidopsis thaliana]",78.947
"Rpv12+1+3@24h (FDR=0.024)",19,"Vitvi05g01579",8.682,"UP_in_genotype",0.18,4.38,"EP3","NP_191010.1 homolog of carrot EP3-3 chitiNAse [Arabidopsis thaliana]",64.835
"Rpv12+1+3@24h (FDR=0.024)",20,"Vitvi19g04259",-8.627,"DOWN_in_genotype",0.18,4.56,NA,"NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]",30.592
"Rpv12+1+3@24h (FDR=0.024)",21,"Vitvi10g00134",8.553,"UP_in_genotype",0.18,4.74,NA,"NP_193918.1 HSP20-like chaperones superfamily protein [Arabidopsis thaliana]",55.797
"Rpv12+1+3@24h (FDR=0.024)",22,"Vitvi01g01751",-8.54,"DOWN_in_genotype",0.18,4.92,"FER","NP_190723.1 Malectin/receptor-like protein kiNAse family protein [Arabidopsis thaliana]",55.06
"Rpv12+1+3@24h (FDR=0.024)",23,"Vitvi13g02005",-8.486,"DOWN_in_genotype",0.18,5.09,NA,"NP_566888.2 Subtilase family protein [Arabidopsis thaliana]",50.809
"Rpv12+1+3@24h (FDR=0.024)",24,"Vitvi18g00878",8.462,"UP_in_genotype",0.17,5.27,"CYP82C4","NP_194922.1 cytochrome P450, family 82, subfamily C, polypeptide 4 [Arabidopsis thaliana]",50.192
"Rpv12+1+3@24h (FDR=0.024)",25,"Vitvi12g02318",8.452,"UP_in_genotype",0.17,5.44,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",39.967
